SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1709.181808,1987876.427734,0.0,0.0,0.0,-5778731.678345,17416.692688,541088.704468,-5778731.678345,-6319820.382813,7288880.235024666
2,1708.374298,1963991.760742,0.0,0.0,0.0,-4132339.596069,17078.236816,531943.28772,-4132339.596069,-4664282.883789,7201303.122720666
3,1786.108398,2108506.381836,67.275772,0.0,0.0,-3393753.77832,18751.157837,484207.71051,-3393686.502548,-3877894.213058,7731190.066732
4,1790.02276,2138397.478027,102.044724,0.0,0.0,-2265181.43898,20343.993263,485567.347778,-2265079.394256,-2750646.742034,7840790.752765667
5,1777.359612,2191419.758911,328.916145,0.0,0.0,-1974674.932083,18507.719879,494516.757935,-1974346.015938,-2468862.773873,8035205.782673666
6,1863.636731,2351478.039062,0.0,0.0,0.0,-2501651.736328,19496.01062,501536.84021,-2501651.736328,-3003188.5765380003,8622086.143227333
7,1926.078722,2355422.447266,311.13871,0.0,0.0,-3260908.953125,20596.370174,589927.990479,-3260597.814415,-3850525.804894,8636548.973308666
8,1998.049814,2408373.132812,1376.693069,0.0,0.0,-3868625.726807,21500.547058,582872.467102,-3867249.0337380003,-4450121.500840001,8830701.486977333
9,2005.547319,2471274.304688,1894.437225,0.0,0.0,-5602147.176758,21672.946533,624254.694336,-5600252.739533,-6224507.433869,9061339.117189333
10,1940.255253,2265707.664062,2080.997803,0.0,0.0,-5678224.891479,22460.618286,592091.253174,-5676143.893676001,-6268235.146850001,8307594.768227332
11,1827.115568,2042154.201904,1267.072372,0.0,0.0,-5370054.962891,20696.291061,577239.023865,-5368787.890519001,-5946026.914384001,7487898.740314666
12,1777.649877,2209221.550293,1394.495636,0.0,0.0,-3259170.977478,18278.165039,517834.380737,-3257776.481842,-3775610.862579,8100479.017740999
13,1792.836994,2227920.23291,954.326843,0.0,0.0,-3770550.151611,18110.529633,538484.000122,-3769595.824768,-4308079.82489,8169040.854003333
14,1821.479052,2092023.131836,1066.804672,0.0,0.0,-4177801.024414,18331.487732,654884.046143,-4176734.219742,-4831618.265885,7670751.483398666
15,1820.617761,2038937.357422,575.742554,0.0,0.0,-3325591.092773,18402.835091,672967.829773,-3325015.3502189997,-3997983.1799919996,7476103.643880666
16,1837.328651,2146471.948242,160.441849,0.0,0.0,-3853303.541504,19965.139465,646519.241821,-3853143.099655,-4499662.341476,7870397.143553999
17,1838.452591,2219757.308228,129.803452,0.0,0.0,-2485387.794434,19960.044895,605797.895264,-2485257.990982,-3091055.886246,8139110.130169333
18,1803.588739,2107325.426758,0.0,0.0,0.0,-5171669.361328,19595.296478,616496.265564,-5171669.361328,-5788165.626892,7726859.898112667
19,1843.013748,2224518.8125,697.718903,0.0,0.0,-6356430.996582,19514.66584,577278.42157,-6355733.277679,-6933011.699249,8156568.979166666
20,1905.412979,2408791.751953,1416.516022,0.0,0.0,-5347365.875488,19673.197388,590837.708618,-5345949.3594659995,-5936787.068084,8832236.423827667
21,1845.288496,2295572.435547,3244.901855,0.0,0.0,-4082145.177246,18735.530029,504293.20459,-4078900.2753910003,-4583193.479981001,8417098.930339
22,1831.641724,2336845.466797,2956.427063,0.0,0.0,-7175942.783691,18556.814575,492148.520203,-7172986.356628,-7665134.876831,8568433.378255665
23,1859.386429,2448100.878906,2440.071777,0.0,0.0,-5632491.469727,18605.486084,445633.040405,-5630051.39795,-6075684.438355,8976369.889322
24,1743.647682,2330479.9375,1745.102783,0.0,0.0,-6470821.37793,17853.73468,507541.335449,-6469076.275147,-6976617.610596,8545093.104166666
25,1751.458374,2317769.712891,755.064804,0.0,0.0,-5797602.894531,17717.054626,523653.74469,-5796847.829727001,-6320501.574417001,8498488.947267
26,1041.377159,1300222.65625,0.0,0.0,0.0,-3750561.517578,10607.470795,323105.989258,-3750561.517578,-4073667.5068360004,4767483.072916666
148,1748.686041,2204074.238281,789.058716,0.0,0.0,-5389614.420898,17345.095032,469487.689453,-5388825.362182,-5858313.051635,8081605.540363666
149,1667.615876,2064140.441406,9.15346,0.0,0.0,-4411168.870117,16403.368889,451411.492676,-4411159.716657001,-4862571.209333001,7568514.951822
150,1717.740813,2015918.929932,1778.339359,0.0,0.0,-3062672.686035,17483.882721,470024.497925,-3060894.346676,-3530918.8446009997,7391702.743084
151,1671.904151,1846348.763672,2510.456909,0.0,0.0,-3716014.15625,16927.870987,509311.388916,-3713503.699341,-4222815.088257,6769945.466797333
152,1786.894932,2110652.642578,7816.120468,0.0,0.0,-2997046.890381,17712.856873,468840.157959,-2989230.769913,-3458070.9278720003,7739059.689452667
153,1846.358246,2173004.701172,5888.510101,0.0,0.0,-2791818.132812,18544.781433,531361.334839,-2785929.622711,-3317290.95755,7967683.904297332
154,2038.196922,2487744.912109,5281.913361,0.0,0.0,-3138345.054688,21170.130676,541353.290649,-3133063.141327,-3674416.4319760003,9121731.344399666
155,2093.465393,2322551.339844,5957.700882,0.0,0.0,,23516.339844,686330.280396,,,8516021.579428
156,2069.716171,2277135.535156,3504.861191,0.0,0.0,-5740879.168457,22853.893463,657806.570312,-5737374.307266,-6395180.877578,8349496.962238666
157,2050.009796,2421758.367188,3893.647705,0.0,0.0,-4260569.990967,23049.587402,586247.415039,-4256676.343262,-4842923.758301,8879780.679689333
158,1997.570496,2315509.794922,6647.265503,0.0,0.0,-1969326.283203,22968.24762,630675.781128,-1962679.0177,-2593354.798828,8490202.581380665
159,1871.750846,2270626.694214,2615.951859,0.0,0.0,-4032530.709473,19461.93222,627506.450928,-4029914.757614,-4657421.208542,8325631.212117999
160,1840.517998,2067251.630859,2423.322998,0.0,0.0,-4593218.220215,18435.701538,743447.044922,-4590794.897217,-5334241.942139,7579922.646482999
161,1869.840309,2168968.742188,2064.514709,0.0,0.0,-3454184.460938,18131.420349,761759.973145,-3452119.946229,-4213879.919374,7952885.388022667
162,1861.634521,2124925.914062,1356.479126,0.0,0.0,-2195381.888672,19226.723755,747525.327393,-2194025.409546,-2941550.736939,7791395.018227332
163,1918.064629,2212404.179688,1064.542236,0.0,0.0,-3874991.621094,20897.281128,693910.562744,-3873927.078858,-4567837.641602,8112148.658856
164,1962.005676,2372945.949219,765.862991,0.0,0.0,-2951178.245117,21669.067017,659157.59082,-2950412.382126,-3609569.972946,8700801.813803
