SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1579.458599,1572134.52832,0.0,0.0,0.0,-10487020.522705,19652.39209,6295051.768555,-10487020.522705,-16782072.29126,5764493.270506667
2,1606.794147,1678908.536133,0.0,0.0,0.0,-6666999.344482,19275.868286,5766019.918945,-6666999.344482,-12433019.263427,6155997.965821
3,1675.801413,1798998.869141,67.275772,0.0,0.0,-5518176.935303,21353.840637,5570906.047363,-5518109.659531,-11089015.706894,6596329.186850334
4,1694.860234,1863861.007324,102.044724,0.0,0.0,-2572701.84906,23290.152149,5547673.448242,-2572599.804336,-8120273.252578,6834157.026854666
5,1692.170639,1942151.9552,328.916145,0.0,0.0,-2950598.104553,20778.489197,5696267.255859,-2950269.188408,-8646536.444267,7121223.835733333
6,1791.838119,2153974.421387,0.0,0.0,0.0,-3567787.824219,21820.43396,5268323.542969,-3567787.824219,-8836111.367188,7897906.211752333
7,1845.718767,2131929.967773,311.13871,0.0,0.0,-4497690.878906,23041.555874,6104276.412109,-4497379.740196001,-10601656.152305,7817076.548500999
8,1868.417601,1978949.875977,1037.336594,0.0,0.0,-5692254.227295,23972.045715,6713968.560547,-5691216.890701,-12405185.451248,7256149.545248999
9,1882.764257,2107652.464844,1894.437225,0.0,0.0,-8195008.21875,24189.030396,6897095.089844,-8193113.781525,-15090208.871369,7728059.037761333
10,1830.72974,1943510.533203,1912.546692,0.0,0.0,-6308716.414551,25010.564209,6395309.902344,-6306803.867859,-12702113.770203,7126205.288411
11,1728.050406,1756206.989014,1151.678955,0.0,0.0,-7510300.030884,23097.68869,6093989.076172,-7509148.351929,-13603137.428101,6439425.626384666
12,1695.059327,1959528.746094,571.764984,0.0,0.0,-4468672.957886,20726.587097,5797872.209961,-4468101.192902001,-10265973.402863,7184938.735678
13,1688.597737,1871298.811035,265.770042,0.0,0.0,-5738737.418945,20524.46933,6287999.710938,-5738471.648902999,-12026471.359841,6861428.9737949995
14,1728.424887,1813087.158203,86.514717,0.0,0.0,-5488649.916016,20741.269897,6863682.834961,-5488563.401299001,-12352246.23626,6647986.246744333
15,1712.683163,1717476.258148,63.885902,0.0,0.0,-5479960.414062,20872.411423,7363524.76416,-5479896.52816,-12843421.29232,6297412.946542667
16,1733.725704,1847265.429688,160.441849,0.0,0.0,-5007311.720703,22690.251099,6997466.152832,-5007151.278854,-12004617.431685999,6773306.575522666
17,1712.08548,1825357.345337,129.803452,0.0,0.0,-4391920.597656,23073.841164,7000961.447754,-4391790.794204,-11392752.241958,6692976.932902333
18,1689.954927,1768688.634766,0.0,0.0,0.0,-7285399.020508,22356.812622,6796440.588379,-7285399.020508,-14081839.608887,6485191.660808667
19,1728.620041,1878136.727539,697.718903,0.0,0.0,-8687554.256836,22078.753174,6334824.474609,-8686856.537933001,-15021681.012542002,6886501.334309666
20,1804.026283,2119249.530762,1129.051086,0.0,0.0,-7659440.673828,22233.882507,6350152.698242,-7658311.622742,-14008464.320984,7770581.612794
21,1741.918398,1995571.29834,1701.247833,0.0,0.0,-5663438.109863,21217.498138,5853525.652832,-5661736.86203,-11515262.514862001,7317094.76058
22,1731.948452,2023625.484375,1634.782776,0.0,0.0,-9493219.124023,21020.617615,5741741.801758,-9491584.341247,-15233326.143004999,7419960.109375
23,1759.534283,2133573.666016,2440.071777,0.0,0.0,-7694581.217773,21054.971863,5188390.736328,-7692141.145996,-12880531.882323999,7823103.442058666
24,1655.542721,2071202.143066,1712.142578,0.0,0.0,-8898606.867188,20259.532104,5458874.724609,-8896894.724609999,-14355769.449219,7594407.857908666
25,1656.801437,2048383.510742,721.862045,0.0,0.0,-8309717.666016,20095.342346,5653461.707031,-8308995.803971,-13962457.511002,7510739.539387333
26,978.117023,1110194.512695,0.0,0.0,0.0,-5681871.554688,11977.853729,3606104.478516,-5681871.554688,-9287976.033204,4070713.213215
148,1667.383837,1972698.15918,789.058716,0.0,0.0,-7557618.664062,19553.810669,4987694.538086,-7556829.605346,-12544524.143431999,7233226.58366
149,1564.588402,1769170.133789,9.15346,0.0,0.0,-6998201.748047,18574.191139,5207464.510742,-6998192.594587,-12205657.105329,6486957.157226333
150,1637.330809,1802347.216644,1683.54432,0.0,0.0,-4489183.989258,19989.481421,5055585.091797,-4487500.444937999,-9543085.536734998,6608606.461027999
151,1584.200549,1607341.457031,2341.857727,0.0,0.0,-5069672.570312,19199.751343,5607875.15625,-5067330.712585,-10675205.868835,5893585.342447
152,1690.865028,1823464.416016,7414.384888,0.0,0.0,-5088753.074219,19893.928772,5537888.013672,-5081338.689331,-10619226.703003,6686036.192058667
153,1770.06802,1959650.543945,5326.941101,0.0,0.0,-3643275.226562,20756.845398,5727088.956543,-3637948.2854609997,-9365037.242004,7185385.327798333
154,1955.486841,2251673.080078,5281.913361,0.0,0.0,-4434021.664062,23575.417389,5742260.396973,-4428739.750701,-10171000.147674,8256134.626952667
155,1973.825058,1977605.787109,5556.385365,0.0,0.0,,25852.005005,7581529.417969,,,7251221.219399666
156,1957.002884,1970365.586914,3504.861191,0.0,0.0,-7558729.238037,25047.88913,7066392.451172,-7555224.376846001,-14621616.828018,7224673.818684666
157,1948.349045,2135767.812988,3729.636047,0.0,0.0,-3817740.148193,25215.081177,6400689.506348,-3814010.512146,-10214700.018493999,7831148.647622666
158,1908.566166,2070386.106445,6121.103333,0.0,0.0,-1739720.412109,25278.476318,6633034.25,-1733599.3087759998,-8366633.558776,7591415.723631667
159,1788.006464,2031732.73032,2516.926468,0.0,0.0,-5014142.895508,21779.420135,6784424.271484,-5011625.96904,-11796050.240524,7449686.67784
160,1736.795555,1756764.666016,1999.027985,0.0,0.0,-5592464.087402,20722.71051,8270361.421875,-5590465.059417,-13860826.481292,6441470.442058667
161,1787.68877,1937560.017578,1373.69302,0.0,0.0,-4334845.898438,20431.635681,7841303.900391,-4333472.205418,-12174776.105809,7104386.731119333
162,1780.595501,1905982.621094,1292.665222,0.0,0.0,-3576192.75,21640.278198,7752224.160156,-3574900.084778,-11327124.244934,6988602.944011333
163,1818.407406,1925059.090332,1064.542236,0.0,0.0,-6331044.368164,23765.115356,7348201.917969,-6329979.825928,-13678181.743896998,7058549.997884
164,1870.817787,2113181.222656,765.862991,0.0,0.0,-3723888.996094,25607.91095,6980251.089844,-3723123.133103,-10703374.222947,7748331.149738666
165,1813.317738,2003810.190918,2620.565125,0.0,0.0,-4427461.923828,24739.752869,6592418.373535,-4424841.3587030005,-11017259.732238,7347304.033365999
166,1805.814332,1966051.587891,3014.243256,0.0,0.0,-7136523.375,23969.276733,6283272.154785,-7133509.131744,-13416781.286529,7208855.822267
167,1897.975384,2180911.403809,4366.452026,0.0,0.0,,21488.653076,5821810.269531,,,7996675.147299666
168,1903.088278,2246681.878723,2821.303223,0.0,0.0,-5041949.496094,20927.78125,5150567.035156,-5039128.192871,-10189695.228027001,8237833.555317667
169,1865.561886,2229849.580078,2201.233643,0.0,0.0,-5403556.631836,21397.584503,5313730.901367,-5401355.398193,-10715086.29956,8176115.126952667
170,1824.27932,2254943.681641,2907.008545,0.0,0.0,-8274378.448486,23248.531006,4868277.589355,-8271471.439941,-13139749.029296,8268126.832683666
171,1672.944073,1917823.386719,2896.230469,0.0,0.0,-9543211.455811,22515.296326,5860862.179688,-9540315.225342,-15401177.405030001,7032019.084636333
172,1662.354942,1789113.442383,1412.391632,0.0,0.0,-7723840.806152,21751.384399,6124374.214844,-7722428.41452,-13846802.629363999,6560082.622071
173,1021.518677,1141805.596191,805.548157,0.0,0.0,-4248852.486328,11964.659546,3341707.583984,-4248046.938171,-7589754.522155,4186620.5193669996
295,1747.772414,1993566.187988,935.253235,0.0,0.0,-5179639.375,18816.775269,4882578.158203,-5178704.121765,-10061282.279968001,7309742.689289333
296,1709.967068,1815857.401367,0.0,0.0,0.0,-6260387.957031,18542.107056,5087911.038086,-6260387.957031,-11348298.995117001,6658143.805012333
297,1729.528484,1948558.47998,3969.221985,0.0,0.0,-3584312.073914,18958.568176,4471307.505859,-3580342.8519289996,-8051650.357787999,7144714.4265933335
298,1698.775024,1913410.588364,9874.913574,0.0,0.0,-4751216.50293,18892.832384,4696002.327637,-4741341.589356001,-9437343.916993,7015838.824001333
299,1669.633228,1730934.684082,9346.537903,0.0,0.0,-6547264.056152,19173.836884,5805531.605469,-6537917.518249,-12343449.123718001,6346760.508300667
300,1734.980012,1749493.792114,12549.767029,0.0,0.0,-4268618.567139,22042.291319,5853310.384766,-4256068.800109999,-10109379.184875999,6414810.571084667
301,1857.562334,1964726.853027,11316.104507,0.0,0.0,515982.685547,24193.599119,6212863.233398,527298.790054,-5685564.443344,7203998.461099
302,1853.964776,1831264.52002,10455.617538,0.0,0.0,-3469123.230469,26297.430588,7857025.376465,-3458667.612931,-11315692.989396,6714636.5734066665
303,1776.895237,1678956.333984,4940.965454,0.0,0.0,-6658515.295898,24181.105894,8761733.345703,-6653574.330444,-15415307.676146999,6156173.224607999
304,1881.228397,2131870.321289,5481.290405,0.0,0.0,-5436672.137695,23419.787476,7259996.646484,-5431190.84729,-12691187.493774,7816857.844726333
305,1911.277954,2083064.883057,4657.508423,0.0,0.0,-5540183.53418,23360.51178,8103612.620605,-5535526.025757001,-13639138.646362001,7637904.571209
306,1956.147667,2270017.341797,3588.151657,0.0,0.0,-4225277.922852,22812.163818,7987628.289062,-4221689.771195,-12209318.060256999,8323396.919922332
307,1816.592768,2023644.528809,4634.4443,3999.12793,9423.708008,,21277.942848,8016936.625977,,,7419841.464806173
308,1813.956095,2091572.881958,3945.231232,0.0,0.0,-3463342.576172,20408.861523,7126616.583984,-3459397.3449399997,-10586013.928924,7669100.5671793325
309,1792.279629,1976318.669922,4694.417725,0.0,0.0,-4055713.203125,21214.153381,7937441.09668,-4051018.7854,-11988459.88208,7246501.789714
310,1797.068266,1926542.277832,3077.685501,0.0,0.0,-6882495.443359,22289.175781,8043227.470703,-6879417.757858,-14922645.228560999,7063988.352050667
311,1876.416355,2145228.76123,3924.421692,0.0,0.0,-5130911.861328,24792.960815,7709567.076172,-5126987.439636,-12836554.515808001,7865838.791176666
312,1840.393082,2011020.089355,6116.681152,19972.867188,47117.546875,-7173240.28125,24027.418335,7626658.839844,-7147150.73291,-14773809.572754,7372797.9766975
313,1919.647827,2278304.825195,5225.135529,23967.503906,56541.207031,-7152064.615234,23710.621002,6949628.714844,-7122871.975799,-14072500.690643,8352653.534907713
314,2011.507305,2481488.225586,4547.072815,0.0,0.0,-4410331.564453,21113.816895,6737402.18457,-4405784.491638,-11143186.676208,9098790.160481999
315,2007.215298,2400145.26416,4289.641571,0.0,0.0,-3202414.549805,20504.28656,6928017.554688,-3198124.9082339997,-10126142.462922,8800532.635253333
316,1987.359779,2336829.091309,4447.454224,0.0,0.0,,20964.4375,6614071.414062,,,8568373.334799666
317,1889.151596,2201105.563965,2670.719238,0.0,0.0,-9197085.255859,22732.405334,6327149.612793,-9194414.536621,-15521564.149414001,8070720.4012050005
318,1789.197737,2089980.658203,2333.650146,0.0,0.0,-9137746.54126,22529.287659,5842068.958496,-9135412.891114,-14977481.84961,7663262.413411
319,1736.036304,1893992.756348,1721.731384,0.0,0.0,-8396078.817139,21788.073303,6438034.763184,-8394357.085755,-14832391.848939,6944640.106609332
320,1061.443157,1198145.7146,554.991455,0.0,0.0,-5245915.552734,11683.832581,3622825.699707,-5245360.561279,-8868186.260986,4393200.953533334
442,1835.094044,2162081.59787,8.917086,0.0,0.0,,20119.019379,5092829.376953,,,7927632.525523334
443,1826.614017,2100233.06366,1115.121582,0.0,0.0,,20401.507568,5426067.345703,,,7700854.5667533325
444,1752.095815,1939901.36731,4719.001495,0.0,0.0,-6770443.388916,19345.440964,5229152.640137,-6765724.387421,-11994877.027557999,7112971.680136666
445,1700.172165,1730498.254883,9128.67099,0.0,0.0,-6440040.479248,19355.501633,5750443.473633,-6430911.808258001,-12181355.281891,6345160.267904333
446,1738.941033,1773857.133789,8770.085037,0.0,0.0,-4583701.021729,19872.296539,5755730.586426,-4574930.936692,-10330661.523118,6504142.823893
447,1854.273822,1998026.258499,10180.071503,0.0,0.0,-5328100.793945,20988.957428,6016005.147461,-5317920.722441999,-11333925.869902998,7326096.281163
448,1950.1738,2205997.891113,6821.30777,0.0,0.0,,23711.775566,6030084.349121,,,8088658.934080999
449,1871.940396,2030110.523438,4887.039612,0.0,0.0,,23841.272827,6965518.517578,,,7443738.585939333
450,1840.347397,1889655.517578,5101.445526,0.0,0.0,-6115995.132812,24953.079208,8035224.292969,-6110893.687286,-14146117.980255,6928736.897786
451,1912.644802,2218024.308517,6108.04731,0.0,0.0,-5007757.869263,23957.494787,7034566.780273,-5001649.821953,-12036216.602226,8132755.797895667
452,1941.843208,2146534.444824,5996.615234,0.0,0.0,-6035278.383789,23751.878296,7641902.117188,-6029281.768555,-13671183.885743,7870626.297687999
453,1971.821739,2413584.366699,5582.475098,0.0,0.0,-6751324.611328,23194.194092,6944077.453125,-6745742.13623,-13689819.589355,8849809.344563
454,1914.289106,2375042.125,6691.63295,0.0,0.0,-6727514.162659,23757.848804,6581267.69043,-6720822.529708999,-13302090.220139,8708487.791666666
455,1926.664352,2407713.249023,5700.76889,0.0,0.0,-4638336.167969,25634.845947,6522217.22998,-4632635.399079,-11154852.629059,8828281.913084332
456,1838.843005,2202307.52002,4598.934233,0.0,0.0,-2459251.249023,23448.093796,6193207.817383,-2454652.3147899997,-8647860.132173,8075127.5734066665
457,1838.613598,2242279.941406,4784.496582,0.0,0.0,-3902884.190186,23284.042969,6042625.490234,-3898099.693604,-9940725.183837999,8221693.118488666
458,1879.800755,2290862.380859,5220.0271,0.0,0.0,-4889560.151672,24978.335327,6613317.614258,-4884340.1245720005,-11497657.73883,8399828.729816334
459,1861.863514,2095262.84375,5201.960815,0.0,0.0,-8671500.634766,25420.403625,7579455.110352,-8666298.673951,-16245753.784303,7682630.427083333
460,1942.943981,2272093.815918,4628.067032,0.0,0.0,-6097097.798828,25905.065308,6896800.982422,-6092469.731796,-12989270.714218,8331010.658365999
461,2025.051228,2463236.714844,5337.69474,0.0,0.0,-4282913.308594,25204.496216,6451407.898438,-4277575.613853999,-10728983.512292,9031867.954428
462,1997.250263,2312074.489258,5477.946838,0.0,0.0,-3349651.447266,24708.1745,6947859.359375,-3344173.500428,-10292032.859803,8477606.460612668
463,1934.588833,2175795.765625,5389.528233,0.0,0.0,-6193636.269897,25113.583801,7836429.205078,-6188246.741664,-14024675.946742,7977917.807291666
464,1856.423085,2080930.992676,3661.83313,0.0,0.0,-7086412.445312,25997.287258,7409790.331055,-7082750.612182,-14492540.943237,7630080.306478667
465,1827.257347,1964818.996094,4304.274292,0.0,0.0,,25467.025146,7692639.714844,,,7204336.319011333
466,1809.521063,2037550.479492,2232.895885,0.0,0.0,,23829.617859,6845272.232422,,,7471018.424804
467,1099.914396,1329734.11377,313.907715,0.0,0.0,,12189.446625,3352811.529297,,,4875691.75049
589,1910.576092,2290318.804688,1159.907745,0.0,0.0,-5658494.700195,21632.587036,5836771.687012,-5657334.79245,-11494106.479462,8397835.617189333
590,1839.811661,1934802.208008,3358.688965,0.0,0.0,-7498549.607071,22196.506897,7327443.154785,-7495190.918106,-14822634.072891,7094274.762696
591,1782.969672,1791614.42334,2524.97522,0.0,0.0,-4076569.621094,21409.07486,7174153.414062,-4074044.645874,-11248198.059936,6569252.88558
