SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1942.323845,2980787.78125,0.0,0.0,0.0,0.0,15741.732239,0.0,0.0,0.0,10929555.197916666
2,1940.479347,2992105.813477,0.0,0.0,0.0,0.0,15476.114777,0.0,0.0,0.0,10971054.649415666
3,1983.766277,3000670.431641,3404.631104,0.0,0.0,0.0,16570.676147,2057.116699,3404.631104,1347.514405,11002458.249350332
4,1973.864106,2990945.581543,3406.055176,0.0,0.0,0.0,17757.027786,8500.446289,3406.055176,-5094.391113,10966800.465657666
5,1946.127983,2985440.016724,2299.346596,0.0,0.0,0.0,16621.553864,0.0,2299.346596,2299.346596,10946613.394654667
6,2027.244111,3084265.769531,1865.522339,0.0,0.0,0.0,17531.288177,2058.987305,1865.522339,-193.464966,11308974.488280334
7,2130.676142,3268341.572266,3215.141937,0.0,0.0,0.0,18554.171631,0.0,3215.141937,3215.141937,11983919.098308666
8,2232.484858,3468385.976562,3232.347977,0.0,0.0,0.0,19341.824432,6171.46875,3232.347977,-2939.120773,12717415.247394
9,2240.219751,3512529.919922,5448.599854,0.0,0.0,0.0,19552.316193,0.0,5448.599854,5448.599854,12879276.373047331
10,2181.2756,3363532.974609,5901.359131,0.0,0.0,0.0,20303.304565,4118.035156,5901.359131,1783.3239750000002,12332954.240233
11,2068.534653,3130274.795654,4397.328552,0.0,0.0,0.0,18682.585644,6177.129883,4397.328552,-1779.8013309999997,11477674.250731332
12,1970.311969,3091140.284668,2860.753937,0.0,0.0,0.0,16329.449615,2060.578369,2860.753937,800.1755680000001,11334181.043782666
13,1973.90041,3074211.17041,2787.263885,0.0,0.0,0.0,16167.021088,2057.148438,2787.263885,730.1154469999997,11272107.624836665
14,2055.65581,3221163.219727,2654.178589,0.0,0.0,0.0,16418.526306,27528.269775,2654.178589,-24874.091186,11810931.805665666
15,2058.744644,3181309.654297,2658.473389,0.0,0.0,146901.59375,16532.586182,129464.777344,149560.067139,20095.28979499999,11664802.065755665
16,2073.26239,3243290.694336,3186.209961,0.0,0.0,0.0,17931.072922,43485.423828,3186.209961,-40299.213867,11892065.879231999
17,2050.881859,3247240.302368,3229.818604,0.0,0.0,0.0,17851.447346,22641.064453,3229.818604,-19411.245849,11906547.775349334
18,2064.084032,3329380.801758,0.0,0.0,0.0,0.0,17633.851135,0.0,0.0,0.0,12207729.606446
19,2089.69529,3350272.492188,2051.216553,0.0,0.0,9140.480469,17636.149429,2833.583252,11191.697022,8358.11377,12284332.471356
20,2122.028931,3396672.445312,4979.180664,0.0,0.0,8537.261719,17834.493256,5666.977051,13516.442383000001,7849.465332000002,12454465.632810665
21,2066.354292,3290625.574219,3789.076416,0.0,0.0,0.0,16908.632812,0.0,3789.076416,3789.076416,12065627.105469666
22,2045.730217,3236955.21875,2189.202637,0.0,0.0,0.0,16745.169678,14384.78125,2189.202637,-12195.578613,11868835.802083332
23,2047.850243,3247671.179688,3339.94751,0.0,0.0,0.0,16821.604309,0.0,3339.94751,3339.94751,11908127.658856
24,1951.22493,3181492.203125,3258.985352,0.0,0.0,0.0,16119.751099,2057.180176,3258.985352,1201.8051760000003,11665471.411458332
25,1958.493034,3185220.132812,2247.147217,0.0,0.0,0.0,15994.732788,6171.540527,2247.147217,-3924.39331,11679140.486977333
26,1178.115196,1858228.117188,0.0,0.0,0.0,0.0,9574.927429,4114.304688,0.0,-4114.304688,6813503.096355999
148,1944.663626,3023611.25,789.058716,0.0,0.0,0.0,15708.273743,2057.187988,789.058716,-1268.1292720000001,11086574.583333332
