SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1942.323845,2980787.78125,0.0,0.0,0.0,0.0,15741.634338,0.0,0.0,0.0,10929555.197916666
2,1940.479347,2992105.813477,0.0,0.0,0.0,0.0,15476.023438,0.0,0.0,0.0,10971054.649415666
3,1983.766277,3000670.431641,3404.631104,0.0,0.0,0.0,16570.118561,0.0,3404.631104,3404.631104,11002458.249350332
4,1973.864106,2990945.581543,3406.055176,0.0,0.0,0.0,17756.26384,111.0,3406.055176,3295.055176,10966800.465657666
5,1946.127983,2985440.016724,2299.346596,0.0,0.0,0.0,16621.308136,0.0,2299.346596,2299.346596,10946613.394654667
6,2027.244111,3084265.769531,1865.522339,0.0,0.0,0.0,17531.035492,0.0,1865.522339,1865.522339,11308974.488280334
7,2130.676142,3268341.572266,3215.141937,0.0,0.0,0.0,18553.932007,0.0,3215.141937,3215.141937,11983919.098308666
8,2232.484858,3468385.976562,3232.347977,0.0,0.0,0.0,19341.640045,0.0,3232.347977,3232.347977,12717415.247394
9,2240.219751,3512529.919922,5448.599854,0.0,0.0,0.0,19552.194305,0.0,5448.599854,5448.599854,12879276.373047331
10,2181.2756,3363532.974609,5901.359131,0.0,0.0,0.0,20303.15155,0.0,5901.359131,5901.359131,12332954.240233
11,2068.534653,3130274.795654,4397.328552,0.0,0.0,0.0,18682.394039,0.0,4397.328552,4397.328552,11477674.250731332
12,1970.311969,3091140.284668,2860.753937,0.0,0.0,0.0,16329.350677,0.0,2860.753937,2860.753937,11334181.043782666
13,1973.90041,3074211.17041,2787.263885,0.0,0.0,0.0,16166.913513,0.0,2787.263885,2787.263885,11272107.624836665
14,2055.65581,3221163.219727,2654.178589,0.0,0.0,0.0,16418.407654,333.0,2654.178589,2321.178589,11810931.805665666
15,2058.744644,3181309.654297,2658.473389,0.0,0.0,129608.195312,16532.471497,1665.0,132266.668701,130601.66870099999,11664802.065755665
16,2073.26239,3243290.694336,3186.209961,0.0,0.0,0.0,17926.646927,407.0,3186.209961,2779.209961,11892065.879231999
17,2050.881859,3247240.302368,3229.818604,0.0,0.0,0.0,17834.94882,296.0,3229.818604,2933.818604,11906547.775349334
18,2064.084032,3329380.801758,0.0,0.0,0.0,0.0,17626.837463,0.0,0.0,0.0,12207729.606446
19,2089.69529,3350272.492188,2051.216553,0.0,0.0,8092.314453,17634.75296,37.0,10143.531006000001,10106.531006000001,12284332.471356
20,2122.028931,3396672.445312,4979.180664,0.0,0.0,7568.927246,17834.413971,74.0,12548.10791,12474.10791,12454465.632810665
21,2066.354292,3290625.574219,3789.076416,0.0,0.0,0.0,16908.555359,0.0,3789.076416,3789.076416,12065627.105469666
22,2045.730217,3236955.21875,2189.202637,0.0,0.0,0.0,16745.094116,0.0,2189.202637,2189.202637,11868835.802083332
23,2047.850243,3247671.179688,3339.94751,0.0,0.0,0.0,16821.531494,0.0,3339.94751,3339.94751,11908127.658856
24,1951.22493,3181492.203125,3258.985352,0.0,0.0,0.0,16119.699402,0.0,3258.985352,3258.985352,11665471.411458332
25,1958.493034,3185220.132812,2247.147217,0.0,0.0,0.0,15994.660278,0.0,2247.147217,2247.147217,11679140.486977333
26,1178.115196,1858228.117188,0.0,0.0,0.0,0.0,9574.864197,0.0,0.0,0.0,6813503.096355999
148,1944.663626,3023611.25,789.058716,0.0,0.0,0.0,15708.172852,0.0,789.058716,789.058716,11086574.583333332
149,1855.822847,2863652.904297,9.15346,0.0,0.0,0.0,14833.595825,0.0,9.15346,9.15346,10500060.649089
150,1890.964808,2763351.142578,3713.17831,0.0,0.0,0.0,15404.246803,0.0,3713.17831,3713.17831,10132287.522786
151,1855.510092,2646108.320312,5263.137741,0.0,0.0,0.0,15089.917534,0.0,5263.137741,5263.137741,9702397.174477333
152,1954.192371,2851742.949219,9047.471191,0.0,0.0,0.0,15979.237305,148.0,9047.471191,8899.471191,10456390.813803
153,2047.571114,3070009.337891,5458.161072,0.0,0.0,16479.367188,16604.439026,74.0,21937.52826,21863.52826,11256700.905600332
154,2218.868168,3282069.294922,6214.367935,0.0,0.0,44935.0625,18775.511215,222.0,51149.430435,50927.430435,12034254.081380665
155,2368.079681,3541754.480469,8299.478653,0.0,0.0,,20642.95874,111.0,,,12986433.095053
156,2336.836163,3450754.029297,6864.544678,0.0,0.0,0.0,20039.649353,0.0,6864.544678,6864.544678,12652764.774089
157,2268.539139,3393023.6875,7425.980591,0.0,0.0,0.0,20230.663818,0.0,7425.980591,7425.980591,12441086.854166666
158,2221.527229,3360747.191406,9140.699463,0.0,0.0,0.0,20216.780609,0.0,9140.699463,9140.699463,12322739.701822
159,2084.012984,3257136.809448,5068.305191,0.0,0.0,0.0,16850.100136,0.0,5068.305191,5068.305191,11942834.967976
160,2068.72155,3159160.199219,4363.680054,0.0,0.0,5387.436035,15868.94165,333.0,9751.116089,9418.116089,11583587.397136332
161,2093.681908,3234900.890625,3925.323486,0.0,0.0,0.0,15643.367615,1517.0,3925.323486,2408.323486,11861303.265625
162,2069.35363,3116239.546875,4061.529541,0.0,0.0,0.0,16404.716736,370.0,4061.529541,3691.529541,11426211.671875
163,2151.17305,3285466.75,3755.631042,0.0,0.0,12410.886719,18089.690857,259.0,16166.517761,15907.517761,12046711.416666666
164,2165.041611,3330887.535156,3131.320694,0.0,0.0,0.0,18866.848755,296.0,3131.320694,2835.320694,12213254.295572
165,2137.140938,3365269.871094,2620.565125,0.0,0.0,0.0,18496.722992,148.0,2620.565125,2472.565125,12339322.860678
166,2132.316228,3327249.404297,4048.767212,0.0,0.0,8092.350586,18139.034088,37.0,12141.117798,12104.117798,12199914.482422331
167,2189.797676,3371558.390137,6363.755005,0.0,0.0,,17202.914581,222.0,,,12362380.763835667
168,2154.889715,3242166.15509,5486.607666,0.0,0.0,0.0,16717.326294,0.0,5486.607666,5486.607666,11887942.568663333
169,2130.661053,3270117.464844,4171.416138,0.0,0.0,0.0,16840.256653,0.0,4171.416138,4171.416138,11990430.704428
170,2103.079231,3319207.207031,2207.319092,0.0,0.0,0.0,17235.356567,0.0,2207.319092,2207.319092,12170426.425780332
171,2003.931831,3181222.703125,2694.976074,0.0,0.0,0.0,16669.755493,0.0,2694.976074,2694.976074,11664483.244791666
172,2004.17852,3122591.525391,2535.1203,0.0,0.0,0.0,16401.902527,0.0,2535.1203,2535.1203,11449502.259767
173,1202.027573,1840773.347656,1055.573975,0.0,0.0,0.0,9607.005829,0.0,1055.573975,1055.573975,6749502.274738667
295,2013.446784,3012570.945312,935.253235,0.0,0.0,0.0,15393.286194,37.0,935.253235,898.253235,11046093.466144
296,1987.114697,2858308.170898,0.0,0.0,0.0,0.0,15170.848358,0.0,0.0,0.0,10480463.293292666
297,1933.136002,2704735.369141,5585.570129,0.0,0.0,0.0,15105.568954,0.0,5585.570129,5585.570129,9917363.020183666
298,1924.47947,2753203.693359,11354.407837,0.0,0.0,0.0,14919.92874,148.0,11354.407837,11206.407837,10095080.208983
299,1965.877805,2863796.10498,11586.896545,0.0,0.0,0.0,15781.579323,37.0,11586.896545,11549.896545,10500585.71826
300,2024.336783,2862457.633301,14579.886169,0.0,0.0,0.0,17075.068247,333.0,14579.886169,14246.886169,10495677.988770334
301,2169.493729,3227245.151367,10153.898193,0.0,0.0,0.0,18720.834751,37.0,10153.898193,10116.898193,11833232.221678998
302,2224.7874,3295973.0625,12994.565308,0.0,0.0,0.0,20505.374603,0.0,12994.565308,12994.565308,12085234.5625
303,2200.243511,3307155.011719,7790.682861,0.0,0.0,0.0,19161.823673,0.0,7790.682861,7790.682861,12126235.042969666
304,2208.432678,3361458.0,6222.467407,0.0,0.0,0.0,18826.44043,0.0,6222.467407,6222.467407,12325346.0
305,2248.574574,3428649.181641,5799.432617,0.0,0.0,0.0,18744.487122,37.0,5799.432617,5762.432617,12571713.666017
306,2262.631042,3517503.238281,6017.648438,79981.234375,188471.03125,0.0,18175.278076,333.0,85998.882813,85665.882813,12893742.453072
307,2122.996363,3293047.71875,5913.538959,3999.12793,9423.708008,0.0,16771.337685,999.0,9912.666889,8913.666889,12074319.827923171
308,2080.276002,3239656.864502,6405.763033,0.0,0.0,48490.367188,16056.558609,518.0,54896.130221,54378.130221,11878741.836507333
309,2086.596497,3257082.117188,6879.22876,0.0,0.0,21551.367188,16429.217407,407.0,28430.595948000002,28023.595948000002,11942634.429689333
310,2126.824451,3355691.777344,6090.668945,0.0,0.0,0.0,17282.599762,1480.0,6090.668945,4610.668945,12304203.183594666
311,2176.900856,3437698.617188,6502.539551,0.0,0.0,0.0,18644.815063,814.0,6502.539551,5688.539551,12604894.929689333
312,2189.856155,3480247.933594,4858.398071,19972.867188,47117.546875,0.0,18354.324036,333.0,24831.265259,24498.265259,12759966.738907166
313,2216.267021,3494002.199219,6094.819458,3994.577393,9423.518555,3832.00415,18437.42688,185.0,13921.401001,13736.401001,12811152.926765233
314,2248.035858,3433745.921875,9216.137695,0.0,0.0,0.0,17386.078186,0.0,9216.137695,9216.137695,12590401.713541666
