SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1942.323845,2980787.78125,0.0,0.0,0.0,0.0,15742.051331,0.0,0.0,0.0,10929555.197916666
2,1940.479347,2992105.813477,0.0,0.0,0.0,0.0,15476.441803,0.0,0.0,0.0,10971054.649415666
3,1983.580379,2999344.979492,3404.631104,0.0,0.0,0.0,16571.338013,0.0,3404.631104,3404.631104,10997598.258137332
4,1973.864106,2990945.581543,3406.055176,0.0,0.0,0.0,17757.861786,8500.446289,3406.055176,-5094.391113,10966800.465657666
5,1945.93663,2984527.376099,2333.992104,0.0,0.0,0.0,16622.020966,0.0,2333.992104,2333.992104,10943267.045696333
6,2027.061091,3082939.111328,1865.522339,0.0,0.0,0.0,17531.705383,0.0,1865.522339,1865.522339,11304110.074869333
7,2130.676142,3268341.572266,3215.141937,0.0,0.0,0.0,18554.623989,0.0,3215.141937,3215.141937,11983919.098308666
8,2229.639971,3453456.574219,3614.904251,0.0,0.0,0.0,19342.282318,0.0,3614.904251,3614.904251,12662674.105469666
9,2240.219751,3512529.919922,5448.599854,0.0,0.0,0.0,19552.710968,0.0,5448.599854,5448.599854,12879276.373047331
10,2179.138126,3352649.427734,6207.276611,0.0,0.0,0.0,20303.954834,0.0,6207.276611,6207.276611,12293047.901691332
11,2066.690932,3120058.71167,4596.977402,0.0,0.0,0.0,18683.078957,0.0,4596.977402,4596.977402,11440215.276123334
12,1964.970471,3065170.72998,3748.938751,0.0,0.0,0.0,16329.661987,0.0,3748.938751,3748.938751,11238959.34326
13,1969.507046,3052807.279785,3508.470673,0.0,0.0,0.0,16167.262817,0.0,3508.470673,3508.470673,11193626.692544999
14,2049.45254,3192208.321289,3634.468628,0.0,0.0,0.0,16418.816223,25471.105469,3634.468628,-21836.636841,11704763.844726333
15,2053.803138,3163108.240234,3170.330078,0.0,0.0,163224.0,16532.853943,127409.851562,166394.330078,38984.478516,11598063.547524666
16,2072.168747,3235330.663086,3186.209961,0.0,0.0,0.0,17933.592041,31131.359375,3186.209961,-27945.149414,11862879.097981999
17,2050.881859,3247240.302368,3229.818604,0.0,0.0,0.0,17860.243746,22641.064453,3229.818604,-19411.245849,11906547.775349334
18,2064.084032,3329380.801758,0.0,0.0,0.0,0.0,17637.760284,0.0,0.0,0.0,12207729.606446
19,2089.606476,3350118.492188,2051.216553,0.0,0.0,10156.089844,17637.17741,2833.583252,12207.306397,9373.723145,12283767.804689333
20,2120.222885,3391326.144531,5299.935303,0.0,0.0,0.0,17834.857574,5666.977051,5299.935303,-367.04174799999964,12434862.529947
21,2055.962996,3259429.710938,5332.730713,0.0,0.0,0.0,16908.971863,0.0,5332.730713,5332.730713,11951242.273439333
22,2033.987534,3192216.03125,3874.302734,0.0,0.0,0.0,16745.508423,0.0,3874.302734,3874.302734,11704792.114583332
23,2047.850243,3247671.179688,3339.94751,0.0,0.0,0.0,16821.943726,0.0,3339.94751,3339.94751,11908127.658856
24,1950.466667,3178091.4375,3358.800049,0.0,0.0,0.0,16120.104858,0.0,3358.800049,3358.800049,11653001.9375
25,1957.561119,3179417.375,2285.003891,0.0,0.0,0.0,15995.074097,0.0,2285.003891,2285.003891,11657863.708333332
26,1177.744507,1855577.164062,0.0,0.0,0.0,0.0,9575.109161,0.0,0.0,0.0,6803782.934894
148,1944.47846,3022285.75,789.058716,0.0,0.0,0.0,15708.599365,0.0,789.058716,789.058716,11081714.416666666
149,1855.637865,2862327.373047,9.15346,0.0,0.0,0.0,14834.021179,0.0,9.15346,9.15346,10495200.367839
150,1888.867953,2754224.048828,3950.49472,0.0,0.0,0.0,15405.407646,0.0,3950.49472,3950.49472,10098821.512369333
151,1854.167311,2639719.3125,5499.239792,0.0,0.0,0.0,15090.821194,0.0,5499.239792,5499.239792,9678970.8125
152,1951.69849,2839877.714844,9483.178589,0.0,0.0,0.0,15979.883545,11321.130859,9483.178589,-1837.9522700000016,10412884.954428
