SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1704.702705,2147359.890625,17762.67897,0.0,0.0,0.0,15740.425598,0.0,17762.67897,17762.67897,7873652.932291666
2,1720.022301,2199849.523926,17651.629127,0.0,0.0,0.0,15474.845978,0.0,17651.629127,17651.629127,8066114.921062
3,1760.978523,2248718.564453,20099.946335,0.0,0.0,0.0,16565.77771,0.0,20099.946335,20099.946335,8245301.402994334
4,1755.970489,2264161.094238,19815.629578,0.0,0.0,0.0,17750.83197,0.0,19815.629578,19815.629578,8301924.012205999
5,1747.581192,2323143.484497,18103.309013,0.0,0.0,0.0,16618.579559,0.0,18103.309013,18103.309013,8518192.776488999
6,1814.491149,2382576.895508,15929.231734,0.0,0.0,0.0,17528.13913,0.0,15929.231734,15929.231734,8736115.283529334
7,1907.362772,2540526.804688,17381.007433,0.0,0.0,0.0,18551.14838,0.0,17381.007433,17381.007433,9315264.950522667
8,1986.247217,2660327.144531,19848.198906,0.0,0.0,0.0,19339.175751,0.0,19848.198906,19848.198906,9754532.863280334
9,1987.299379,2689558.248047,21472.873611,0.0,0.0,0.0,19550.314728,0.0,21472.873611,21472.873611,9861713.576172331
10,1916.71846,2491938.091797,21171.999905,0.0,0.0,0.0,20301.28653,0.0,21171.999905,21171.999905,9137106.336589
11,1828.421822,2339534.535034,19586.293076,0.0,0.0,0.0,18680.072395,0.0,19586.293076,19586.293076,8578293.295124667
12,1737.706464,2283501.112793,21130.812752,0.0,0.0,0.0,16328.139923,0.0,21130.812752,21130.812752,8372837.413574332
13,1762.422255,2359060.850098,21328.508728,0.0,0.0,0.0,16165.594574,0.0,21328.508728,21328.508728,8649889.783692665
14,1818.350485,2422284.262695,23036.403137,0.0,0.0,0.0,16416.947021,0.0,23036.403137,23036.403137,8881708.963214999
15,1823.0885,2409682.115234,23280.249969,0.0,0.0,0.0,16531.357483,0.0,23280.249969,23280.249969,8835501.089191334
16,1841.357836,2459313.071289,23488.33197,0.0,0.0,0.0,17921.907974,0.0,23488.33197,23488.33197,9017481.261393
17,1825.336367,2472782.419739,22937.049477,0.0,0.0,0.0,17820.12533,0.0,22937.049477,22937.049477,9066868.872376334
18,1814.739168,2463508.24707,22572.726513,0.0,0.0,0.0,17620.023315,0.0,22572.726513,22572.726513,9032863.572589999
19,1834.700562,2508228.945312,22381.104832,0.0,0.0,0.0,17632.692986,0.0,22381.104832,22381.104832,9196839.466144
20,1865.828125,2556564.230469,22734.103063,0.0,0.0,0.0,17833.589935,0.0,22734.103063,22734.103063,9374068.845053
21,1823.086096,2453536.248047,22077.481633,0.0,0.0,0.0,16907.788269,0.0,22077.481633,22077.481633,8996299.576172331
22,1803.911987,2378963.578125,21294.025726,0.0,0.0,0.0,16744.319763,0.0,21294.025726,21294.025726,8722866.453125
23,1811.348747,2417382.46875,21562.456635,0.0,0.0,0.0,16820.739685,0.0,21562.456635,21562.456635,8863735.71875
24,1733.660484,2419952.570312,21121.918823,0.0,0.0,0.0,16119.053406,0.0,21121.918823,21121.918823,8873159.424477333
25,1732.636208,2405515.992188,20441.053223,0.0,0.0,0.0,15993.783875,0.0,20441.053223,20441.053223,8820225.304689333
26,1034.764935,1358190.4375,11344.979324,0.0,0.0,0.0,9574.119354,0.0,11344.979324,11344.979324,4980031.604166666
148,1732.382303,2264326.96875,18771.152481,0.0,0.0,0.0,15706.982666,0.0,18771.152481,18771.152481,8302532.21875
149,1659.292892,2161644.300781,17923.757864,0.0,0.0,0.0,14832.43866,0.0,17923.757864,17923.757864,7926029.102863666
150,1698.469924,2123741.587891,19313.757538,0.0,0.0,0.0,15400.140678,0.0,19313.757538,19313.757538,7787052.488933666
151,1683.76969,2091477.999023,18717.226807,0.0,0.0,0.0,15086.542168,0.0,18717.226807,18717.226807,7668752.663084333
152,1767.014404,2225425.927734,22360.257339,0.0,0.0,0.0,15976.722931,0.0,22360.257339,22360.257339,8159895.068358
153,1831.083473,2336858.619141,21876.409851,0.0,0.0,0.0,16601.629242,0.0,21876.409851,21876.409851,8568481.603517
154,2013.56979,2619884.863281,23302.00475,0.0,0.0,0.0,18766.44104,0.0,23302.00475,23302.00475,9606244.498697
155,2119.164185,2746961.613281,26485.849894,0.0,0.0,,20624.285217,0.0,,,10072192.582030334
156,2102.513338,2724197.796875,22057.565023,0.0,0.0,0.0,20019.944244,0.0,22057.565023,22057.565023,9988725.255208332
157,2023.78006,2600729.632812,22143.074089,0.0,0.0,0.0,20192.296448,0.0,22143.074089,22143.074089,9536008.653644
158,1982.393703,2547891.105469,25674.49884,0.0,0.0,0.0,20153.319336,0.0,25674.49884,25674.49884,9342267.386719666
159,1858.054199,2440809.918335,22642.788704,0.0,0.0,0.0,16791.228035,0.0,22642.788704,22642.788704,8949636.367228333
