SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1942.513863,2981142.4375,0.0,0.0,0.0,0.0,15740.291565,2054.915039,0.0,-2054.915039,10930855.604166666
2,1940.479347,2992105.813477,0.0,0.0,0.0,0.0,15474.682892,0.0,0.0,0.0,10971054.649415666
3,2003.968876,3099890.363281,0.0,0.0,0.0,0.0,16565.608002,14402.355469,0.0,-14402.355469,11366264.665363666
4,1993.813592,3087985.347168,0.0,0.0,0.0,0.0,17750.673882,16456.314209,0.0,-16456.314209,11322612.939616
5,1963.488983,3078925.751465,0.0,0.0,0.0,0.0,16618.384308,54842.079346,0.0,-54842.079346,11289394.422038333
6,2041.720539,3150570.832031,0.0,0.0,0.0,0.0,17527.940887,38723.260254,0.0,-38723.260254,11552093.050780332
7,2154.26807,3379520.4375,0.0,0.0,0.0,0.0,18550.831486,46959.982422,0.0,-46959.982422,12391574.9375
8,2259.765215,3596123.115234,0.0,0.0,0.0,0.0,19338.687225,57250.638672,0.0,-57250.638672,13185784.755858
9,2278.309496,3696947.607422,0.0,0.0,0.0,0.0,19549.816559,22628.410156,0.0,-22628.410156,13555474.560547331
10,2221.531185,3559454.927734,0.0,0.0,0.0,0.0,20300.400024,16461.068359,0.0,-16461.068359,13051334.735024666
11,2098.985485,3283466.811279,0.0,0.0,0.0,0.0,18679.537239,37056.167969,0.0,-37056.167969,12039378.308022998
12,1988.950078,3179787.566406,0.0,0.0,0.0,0.0,16327.858582,14401.507324,0.0,-14401.507324,11659221.076822
13,1995.438599,3181052.665283,0.0,0.0,0.0,0.0,16165.310608,53136.773438,0.0,-53136.773438,11663859.772704333
14,2073.009181,3304648.040039,0.0,0.0,0.0,0.0,16416.664246,20212.957031,0.0,-20212.957031,12117042.813476333
15,2083.778297,3293955.638672,0.0,0.0,0.0,0.0,16531.031738,140457.479004,0.0,-140457.479004,12077837.341797331
16,2096.483231,3343873.685547,0.0,0.0,0.0,0.0,17921.150879,62051.235352,0.0,-62051.235352,12260870.180339
17,2070.199143,3339832.567993,0.0,0.0,0.0,0.0,17818.220839,15766.147461,0.0,-15766.147461,12246052.749307666
18,2068.41894,3345850.90332,0.0,0.0,0.0,0.0,17619.136505,47304.322266,0.0,-47304.322266,12268119.978839999
19,2109.772346,3425843.351562,0.0,0.0,0.0,0.0,17632.411407,102799.6875,0.0,-102799.6875,12561425.622394
20,2152.943184,3516872.875,0.0,0.0,0.0,0.0,17833.487152,10274.639648,0.0,-10274.639648,12895200.541666666
21,2089.749212,3387908.378906,0.0,0.0,0.0,0.0,16907.70752,0.0,0.0,0.0,12422330.722655332
22,2059.151573,3295539.34375,0.0,0.0,0.0,0.0,16744.243042,18494.710938,0.0,-18494.710938,12083644.260416666
23,2066.967216,3329715.757812,0.0,0.0,0.0,0.0,16820.660278,0.0,0.0,0.0,12208957.778644
24,1970.332932,3270471.15625,0.0,0.0,0.0,0.0,16118.960876,8228.705078,0.0,-8228.705078,11991727.572916666
25,1972.368057,3253916.859375,0.0,0.0,0.0,0.0,15993.701172,16457.376953,0.0,-16457.376953,11931028.484375
26,1179.042099,1864855.453125,0.0,0.0,0.0,0.0,9574.06543,14400.0,0.0,-14400.0,6837803.328125
148,1952.927114,3065190.15625,0.0,0.0,0.0,0.0,15706.858032,22629.28125,0.0,-22629.28125,11239030.572916666
149,1858.881029,2884037.458984,0.0,0.0,0.0,0.0,14832.286804,30858.253906,0.0,-30858.253906,10574804.016274666
150,1916.789874,2886805.614258,0.0,0.0,0.0,0.0,15399.987083,43884.35498,0.0,-43884.35498,10584953.918946
151,1894.893508,2825560.326172,0.0,0.0,0.0,0.0,15086.429626,93922.960938,0.0,-93922.960938,10360387.862630665
152,1994.71714,3018389.886719,0.0,0.0,0.0,0.0,15976.564789,88091.773926,0.0,-88091.773926,11067429.584636332
153,2080.479774,3179972.183594,0.0,0.0,0.0,0.0,16601.471283,64088.575195,0.0,-64088.575195,11659898.006511332
154,2277.962509,3505528.539062,0.0,0.0,0.0,0.0,18766.102448,118241.345215,0.0,-118241.345215,12853604.643227333
155,2426.48114,3767442.078125,0.0,0.0,0.0,0.0,20623.779846,40101.637939,0.0,-40101.637939,13813954.286458332
156,2382.965405,3668221.941406,0.0,0.0,0.0,0.0,20019.541229,72658.337891,0.0,-72658.337891,13450147.118488666
157,2320.024361,3618282.070312,0.0,0.0,0.0,0.0,20191.685638,63398.070312,0.0,-63398.070312,13267034.257810665
158,2275.328568,3599509.960938,0.0,0.0,0.0,0.0,20152.501312,77454.599609,0.0,-77454.599609,13198203.190106
159,2116.307081,3390140.470703,0.0,0.0,0.0,0.0,16790.874481,30550.404419,0.0,-30550.404419,12430515.059244333
160,2103.900162,3305498.101562,0.0,0.0,0.0,0.0,15803.380493,112182.798828,0.0,-112182.798828,12120159.705727333
161,2121.11274,3350909.421875,0.0,0.0,0.0,0.0,15569.757446,130220.94043,0.0,-130220.94043,12286667.880208332
162,2107.927742,3284564.546875,0.0,0.0,0.0,0.0,16330.319824,206678.521484,0.0,-206678.521484,12043403.338541666
163,2188.628326,3447339.933594,0.0,0.0,0.0,0.0,18035.49649,165213.86084,0.0,-165213.86084,12640246.423178
164,2199.033699,3478430.027344,0.0,0.0,0.0,0.0,18821.249084,154555.023193,0.0,-154555.023193,12754243.433594666
165,2173.623886,3449838.621094,0.0,0.0,0.0,0.0,18455.213684,128537.78418,0.0,-128537.78418,12649408.277344666
166,2169.546056,3441780.517578,0.0,0.0,0.0,0.0,18105.711151,92191.227539,0.0,-92191.227539,12619861.897786
167,2236.707142,3564541.858398,0.0,0.0,0.0,0.0,17202.007935,57241.149414,0.0,-57241.149414,13069986.814125998
168,2199.743038,3416347.153442,0.0,0.0,0.0,0.0,16716.404907,50373.233398,0.0,-50373.233398,12526606.229287334
169,2156.522069,3394583.210938,0.0,0.0,0.0,0.0,16833.481491,12677.274414,0.0,-12677.274414,12446805.106772667
170,2115.900833,3380153.519531,0.0,0.0,0.0,0.0,17205.281586,1713.460938,0.0,-1713.460938,12393896.238280332
171,2021.819542,3271765.919922,0.0,0.0,0.0,0.0,16641.210724,38399.69043,0.0,-38399.69043,11996475.039714
172,2022.111092,3213270.291016,0.0,0.0,0.0,0.0,16380.258209,41144.203125,0.0,-41144.203125,11781991.067058666
173,1211.471226,1887422.328125,0.0,0.0,0.0,0.0,9606.222992,18514.855469,0.0,-18514.855469,6920548.536458333
295,2022.526298,3049509.96875,0.0,0.0,0.0,0.0,15392.094986,13708.392578,0.0,-13708.392578,11181536.552083332
296,1990.279194,2871563.863281,0.0,0.0,0.0,0.0,15169.65802,22630.25,0.0,-22630.25,10529067.498697
297,1993.439041,2929581.501953,0.0,0.0,0.0,0.0,15102.41449,90501.893066,0.0,-90501.893066,10741798.840494333
298,2000.717854,3057796.405273,0.0,0.0,0.0,0.0,14916.525167,47663.315918,0.0,-47663.315918,11211920.152667666
299,2038.883442,3150533.750977,0.0,0.0,0.0,0.0,15779.509117,41124.642334,0.0,-41124.642334,11551957.086915666
300,2094.693442,3160895.150879,0.0,0.0,0.0,0.0,17072.181969,191286.189941,0.0,-191286.189941,11589948.886556333
301,2229.556473,3472040.838867,0.0,0.0,0.0,0.0,18709.82848,160753.341064,0.0,-160753.341064,12730816.409178998
302,2300.498944,3611697.511719,0.0,0.0,0.0,0.0,20483.336914,173103.200195,0.0,-173103.200195,13242890.876303
303,2264.441265,3591152.574219,0.0,0.0,0.0,0.0,19140.450077,235099.154053,0.0,-235099.154053,13167559.438803
304,2256.629349,3577800.09375,0.0,0.0,0.0,0.0,18788.302094,173066.460938,0.0,-173066.460938,13118600.34375
