SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1942.323845,2980787.78125,0.0,0.0,0.0,0.0,15741.464661,0.0,0.0,0.0,10929555.197916666
2,1940.479347,2992105.813477,0.0,0.0,0.0,0.0,15475.87738,0.0,0.0,0.0,10971054.649415666
3,1983.580379,2999344.979492,3404.631104,0.0,0.0,0.0,16567.765686,0.0,3404.631104,3404.631104,10997598.258137332
4,1973.864106,2990945.581543,3406.055176,0.0,0.0,0.0,17752.859924,0.0,3406.055176,3406.055176,10966800.465657666
5,1945.93663,2984527.376099,2333.992104,0.0,0.0,0.0,16620.571014,0.0,2333.992104,2333.992104,10943267.045696333
6,2027.061091,3082939.111328,1865.522339,0.0,0.0,0.0,17530.17865,0.0,1865.522339,1865.522339,11304110.074869333
7,2130.676142,3268341.572266,3215.141937,0.0,0.0,0.0,18553.188442,0.0,3215.141937,3215.141937,11983919.098308666
8,2229.639971,3453456.574219,3614.904251,0.0,0.0,0.0,19341.227753,0.0,3614.904251,3614.904251,12662674.105469666
9,2240.219751,3512529.919922,5448.599854,0.0,0.0,0.0,19551.978424,0.0,5448.599854,5448.599854,12879276.373047331
10,2179.138126,3352649.427734,6207.276611,0.0,0.0,0.0,20302.952423,0.0,6207.276611,6207.276611,12293047.901691332
11,2066.690932,3120058.71167,4596.977402,0.0,0.0,0.0,18681.718693,0.0,4596.977402,4596.977402,11440215.276123334
12,1964.970471,3065170.72998,3748.938751,0.0,0.0,0.0,16328.740295,0.0,3748.938751,3748.938751,11238959.34326
13,1969.507046,3052807.279785,3508.470673,0.0,0.0,0.0,16166.222839,0.0,3508.470673,3508.470673,11193626.692544999
14,2049.45254,3192208.321289,3634.468628,0.0,0.0,0.0,16417.617554,0.0,3634.468628,3634.468628,11704763.844726333
15,2055.219932,3166456.201172,3170.330078,0.0,0.0,98306.234375,16531.778259,0.0,101476.564453,101476.564453,11610339.404297331
16,2072.168747,3235330.663086,3186.209961,0.0,0.0,0.0,17922.725601,0.0,3186.209961,3186.209961,11862879.097981999
17,2050.881859,3247240.302368,3229.818604,0.0,0.0,0.0,17821.979273,0.0,3229.818604,3229.818604,11906547.775349334
18,2064.084032,3329380.801758,0.0,0.0,0.0,0.0,17620.981384,0.0,0.0,0.0,12207729.606446
19,2089.69529,3350676.5,2051.216553,0.0,0.0,1958.925415,17633.281334,0.0,4010.141968,4010.141968,12285813.833333332
20,2120.222885,3391326.144531,5299.935303,0.0,0.0,0.0,17834.194,0.0,5299.935303,5299.935303,12434862.529947
21,2055.962996,3259429.710938,5332.730713,0.0,0.0,0.0,16908.313904,0.0,5332.730713,5332.730713,11951242.273439333
22,2033.987534,3192216.03125,3874.302734,0.0,0.0,0.0,16744.912109,0.0,3874.302734,3874.302734,11704792.114583332
23,2047.850243,3247671.179688,3339.94751,0.0,0.0,0.0,16821.442566,0.0,3339.94751,3339.94751,11908127.658856
24,1950.466667,3178091.4375,3358.800049,0.0,0.0,0.0,16119.708984,0.0,3358.800049,3358.800049,11653001.9375
25,1957.561119,3179417.375,2285.003891,0.0,0.0,0.0,15994.590698,0.0,2285.003891,2285.003891,11657863.708333332
26,1177.744507,1855577.164062,0.0,0.0,0.0,0.0,9574.746094,0.0,0.0,0.0,6803782.934894
148,1944.47846,3022285.75,789.058716,0.0,0.0,0.0,15707.979309,0.0,789.058716,789.058716,11081714.416666666
149,1855.637865,2862327.373047,9.15346,0.0,0.0,0.0,14833.427856,0.0,9.15346,9.15346,10495200.367839
150,1888.867953,2754224.048828,3950.49472,0.0,0.0,0.0,15402.018333,0.0,3950.49472,3950.49472,10098821.512369333
151,1854.167311,2639719.3125,5499.239792,0.0,0.0,0.0,15088.38961,0.0,5499.239792,5499.239792,9678970.8125
152,1951.69849,2839877.714844,9483.178589,0.0,0.0,0.0,15978.583435,0.0,9483.178589,9483.178589,10412884.954428
153,2041.31221,3040643.064453,6488.414642,0.0,0.0,3992.001465,16603.51593,0.0,10480.416107,10480.416107,11149024.569661
154,2217.328869,3276900.669922,6414.865692,0.0,0.0,21956.183594,18773.177155,0.0,28371.049285999998,28371.049285999998,12015302.456380665
155,2365.101883,3528061.0625,8748.079361,0.0,0.0,,20638.549194,0.0,,,12936223.895833332
156,2336.836163,3450754.029297,6864.544678,0.0,0.0,0.0,20035.017517,0.0,6864.544678,6864.544678,12652764.774089
157,2266.827415,3385707.84375,7688.026001,0.0,0.0,0.0,20221.900635,0.0,7688.026001,7688.026001,12414262.09375
158,2215.627472,3332449.808594,10076.490845,0.0,0.0,0.0,20202.43573,0.0,10076.490845,10076.490845,12218982.631511332
159,2083.440413,3254398.746948,5167.330338,0.0,0.0,0.0,16836.503532,0.0,5167.330338,5167.330338,11932795.405476
160,2066.23555,3147295.019531,4787.974976,0.0,0.0,5387.436035,15854.967834,0.0,10175.411011,10175.411011,11540081.738280332
161,2089.668022,3215734.296875,4616.145264,0.0,0.0,0.0,15629.023865,0.0,4616.145264,4616.145264,11791025.755208332
162,2068.037407,3107780.578125,4125.343506,0.0,0.0,0.0,16389.219482,0.0,4125.343506,4125.343506,11395195.453125
163,2150.443062,3280159.90625,3755.631042,0.0,0.0,12410.886719,18073.054199,0.0,16166.517761,16166.517761,12027252.989583332
164,2164.277763,3327236.722656,3254.616104,0.0,0.0,0.0,18832.146057,0.0,3254.616104,3254.616104,12199867.983072
165,2135.287987,3358184.980469,2620.565125,0.0,0.0,0.0,18463.705597,0.0,2620.565125,2620.565125,12313344.928386332
166,2129.66995,3315488.232422,4395.666748,0.0,0.0,5876.802246,18112.670868,0.0,10272.468993999999,10272.468993999999,12156790.185547331
167,2185.988129,3356378.507324,6994.590698,0.0,0.0,,17202.67807,0.0,,,12306721.193521332
168,2149.472471,3217928.932434,6309.803467,0.0,0.0,0.0,16717.107178,0.0,6309.803467,6309.803467,11799072.752257999
169,2125.273495,3244553.605469,5080.084595,0.0,0.0,0.0,16835.838684,0.0,5080.084595,5080.084595,11896696.553386332
170,2096.589821,3288175.378906,3340.784668,0.0,0.0,0.0,17213.970764,0.0,3340.784668,3340.784668,12056643.055988666
171,1999.190697,3156545.439453,3327.711914,0.0,0.0,0.0,16649.381165,0.0,3327.711914,3327.711914,11573999.944661
172,2002.141762,3110070.244141,2635.89563,0.0,0.0,0.0,16386.658081,0.0,2635.89563,2635.89563,11403590.895183666
173,1202.027573,1840773.347656,1055.573975,0.0,0.0,0.0,9606.874237,0.0,1055.573975,1055.573975,6749502.274738667
295,2013.446784,3012570.945312,935.253235,0.0,0.0,0.0,15392.951767,0.0,935.253235,935.253235,11046093.466144
296,1986.929432,2856982.621094,0.0,0.0,0.0,0.0,15170.542023,0.0,0.0,0.0,10475602.944011332
297,1932.565201,2701584.357422,5652.921204,0.0,0.0,0.0,15103.90358,0.0,5652.921204,5652.921204,9905809.310547331
298,1920.832512,2735861.787109,11992.229126,0.0,0.0,0.0,14917.981071,0.0,11992.229126,11992.229126,10031493.219399666
299,1960.310254,2837326.901855,12569.05426,0.0,0.0,0.0,15780.957047,0.0,12569.05426,12569.05426,10403531.973468332
300,2017.746176,2831090.662598,15640.486023,0.0,0.0,0.0,17073.800524,0.0,15640.486023,15640.486023,10380665.762859333
301,2146.516475,3129988.922852,14007.835327,0.0,0.0,0.0,18717.818594,0.0,14007.835327,14007.835327,11476626.050457334
302,2213.445443,3252261.736328,14621.309265,0.0,0.0,0.0,20500.197311,0.0,14621.309265,14621.309265,11924959.699869333
