ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,4.451626725805185318e+09,9.827304204580000369e+05,1.541328003485674143e+09,4.617151915051039457e+08,1.522792182665284157e+09,5.490534063219999662e+05,3.047564465674986839e+09,7.581384934985357285e+09,4.570905701746593475e+09,1.192789759414080083e+08,1.397026429246199876e+07
2.000000000000000000e+00,-4.269082496320769787e+08,1.491721661005999893e+06,8.594146340185361862e+09,2.343858092777825832e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.269082496320769787e+08,1.261959319292800128e+07
3.000000000000000000e+00,-4.269082496320769787e+08,1.491721661005999893e+06,8.594146340185361862e+09,2.343858092777825832e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.269082496320769787e+08,1.261959319292800128e+07
4.000000000000000000e+00,1.357835569232401133e+09,1.426603224373999983e+06,7.698277962984655380e+09,2.100919777570500851e+09,1.374068957252441883e+09,2.725160598030000110e+05,1.072090474587389976e+08,2.547277386923849881e+08,1.481550520770984173e+09,1.237149515385830104e+08,1.349669575575999916e+07
5.000000000000000000e+00,1.079263274453471899e+09,1.445802611784999724e+06,7.956442109816446304e+09,2.170200378453861713e+09,1.180840849260742903e+09,2.221506441510000150e+05,2.036307786132799834e+07,4.796389238574399799e+07,1.201426077766222000e+09,1.221628033127499968e+08,1.334622872334999964e+07
6.000000000000000000e+00,5.508236385124340057e+08,1.472373191591999959e+06,8.324342070967546463e+09,2.270287448279170990e+09,6.599664681699219942e+08,1.203306984720000182e+05,9.591515307610000018e+05,2.261969470705000218e+06,6.610459503991549015e+08,1.102223118867209852e+08,1.303189351721099950e+07
7.000000000000000000e+00,1.055349052295426965e+09,1.449241356635000091e+06,7.957423121703927994e+09,2.170353668874268532e+09,1.181563467570312977e+09,2.373745490969999810e+05,1.147445029589799978e+07,2.701654175293099880e+07,1.193275292415307999e+09,1.379262401198809743e+08,1.332199073092100024e+07
8.000000000000000000e+00,4.262370879079178810e+09,1.033514648711999995e+06,2.153174880077148438e+09,6.249849963895260096e+08,1.594394994067871809e+09,5.019114380709999823e+05,2.793526694097651958e+09,6.921838667555668831e+09,4.388423599603594780e+09,1.260527205244159997e+08,1.397487056760900095e+07
9.000000000000000000e+00,4.327153692686098099e+09,1.014783340291999979e+06,2.003797325029107094e+09,5.851068505734870434e+08,1.601355087894043922e+09,5.038722066109999432e+05,2.851440240350092888e+09,7.079723020350591660e+09,4.453299200450748444e+09,1.261455077646500170e+08,1.398019666311100125e+07
1.000000000000000000e+01,2.664847730288929939e+09,1.270183671668000054e+06,5.840278690815645218e+09,1.608149810416891098e+09,1.670532946123046875e+09,5.119278659620000399e+05,1.131135317314693928e+09,2.813530702314457893e+09,2.802180191303702831e+09,1.373324610147730112e+08,1.382366351113500074e+07
1.100000000000000000e+01,4.071072309604036331e+09,1.071453782542000059e+06,2.740469366144352436e+09,7.821544204354360104e+08,1.623385128922852039e+09,5.218715967169999494e+05,2.575759213736811638e+09,6.371508772612310410e+09,4.199666214256381035e+09,1.285939046523450315e+08,1.396016704126399942e+07
1.200000000000000000e+01,1.358110749756851912e+09,1.428397067426000023e+06,7.693293630056921005e+09,2.099092151292119741e+09,1.417687554939942837e+09,3.067653442610000493e+05,7.126414258984301984e+07,1.688795673759790063e+08,1.489258462874047041e+09,1.311477131171950102e+08,1.350604093995400146e+07
1.300000000000000000e+01,3.372880989544498920e+07,1.490536135381999891e+06,8.571820825996679306e+09,2.337769437625482559e+09,1.118578246704100072e+08,2.377440191699999923e+04,9.488871094000000085e+03,2.226483789099999922e+04,1.118910879434209913e+08,7.816227804797600210e+07,1.259163092001600005e+07
1.400000000000000000e+01,3.885833801737547874e+09,1.104933624683999922e+06,3.236382391012302399e+09,9.146793017985079288e+08,1.635979953079102039e+09,5.103361816469999612e+05,2.379928223813714981e+09,5.872085779111332893e+09,4.016418513074464321e+09,1.305847113369160146e+08,1.393989620555600151e+07
1.500000000000000000e+01,3.131650794410875320e+09,1.215373041441000067e+06,4.946171619473360062e+09,1.370369999783576012e+09,1.678772429834960938e+09,5.240690134230000549e+05,1.590026703016840935e+09,3.925918986654299736e+09,3.269323201865224838e+09,1.376724074543499947e+08,1.387281588530699909e+07
1.600000000000000000e+01,7.167694177775160074e+08,1.463927697583999950e+06,8.229992321919826508e+09,2.244562946514769554e+09,8.271815046953129768e+08,1.356879396280000219e+05,1.515353446287999861e+06,3.590765049806999974e+06,8.288325460812289715e+08,1.120631283037129939e+08,1.313746105977800116e+07
1.700000000000000000e+01,1.540426235084248066e+09,1.412866339197000023e+06,7.494794184987426758e+09,2.046194859191229820e+09,1.506451796245605946e+09,3.902271179459999548e+05,1.659979686855460107e+08,3.960149356875029802e+08,1.672839992049098015e+09,1.324137569648500085e+08,1.359762089027700014e+07
1.800000000000000000e+01,2.348551692501729012e+09,1.309475816723000025e+06,6.375267061703145027e+09,1.750400778479963064e+09,1.622482751465820789e+09,4.608769919699999737e+05,8.604314331916470528e+08,2.143456302835942745e+09,2.483375061649437904e+09,1.348233691477090120e+08,1.375832366504000127e+07
1.900000000000000000e+01,-1.630562975537300855e+07,1.491414258548999904e+06,8.588921310087600708e+09,2.342440642062981606e+09,5.818029283593799919e+07,2.103803345000000263e+03,5.873795625000000000e+05,1.385540500000000000e+06,5.876977620178300142e+07,7.507540595715600252e+07,1.256257373376599886e+07
2.000000000000000000e+01,4.110782400340851784e+09,1.063739045179999899e+06,2.629524218170419693e+09,7.524831422957839966e+08,1.621080087422852039e+09,5.152036694709999720e+05,2.617466780463373661e+09,6.479031845706060410e+09,4.239062071555696487e+09,1.282796712148450315e+08,1.396334388128999993e+07
2.100000000000000000e+01,9.822268552013348341e+08,1.450111253064000048e+06,8.039665129325958252e+09,2.192823867182621002e+09,1.082981610129883051e+09,1.864258177959999884e+05,1.460990753125000000e+07,3.445251718261999637e+07,1.097777943478929043e+09,1.155510882775940001e+08,1.329814794508500025e+07
2.200000000000000000e+01,-7.425259261500090361e+05,1.491191187748999801e+06,8.584283004388490677e+09,2.341168092105951786e+09,7.550091787500000000e+07,1.079227221699999973e+04,0.000000000000000000e+00,0.000000000000000000e+00,7.551171014721700549e+07,7.625423607336699963e+07,1.257162350634900108e+07
2.300000000000000000e+01,1.789324659438066006e+09,1.385569453737000003e+06,7.179422573813977242e+09,1.962520776882143021e+09,1.579414539905273914e+09,4.202553824120000354e+05,3.425282390842260122e+08,8.243470710273469687e+08,1.922363034371912241e+09,1.330383749338460118e+08,1.368420202247299999e+07
2.400000000000000000e+01,1.486293230445765018e+09,1.418663204300999874e+06,7.551809865746011734e+09,2.061134758355964661e+09,1.499862060322754860e+09,3.796127326340000145e+05,1.193528929396970123e+08,2.842124112929720283e+08,1.619594565995085955e+09,1.333013355493210107e+08,1.356843758884299919e+07
2.500000000000000000e+01,8.619000688596997410e+06,1.490990609075000044e+06,8.581285738607565880e+09,2.340356072855951786e+09,8.544272160400399566e+07,1.664175659199999791e+04,4.210579960940000019e+05,9.930932128909999738e+05,8.588042135668998957e+07,7.726142066809299588e+07,1.258080852734500170e+07
2.600000000000000000e+01,3.691748687803879976e+08,1.479119938457000069e+06,8.424141287291304588e+09,2.297501794619135857e+09,4.613328833383789659e+08,7.196393139299999166e+04,6.773868764629999641e+05,1.597982276368999854e+06,4.620822341462350488e+08,9.290736536584700644e+07,1.289967482773099840e+07
2.700000000000000000e+01,3.526788934777208805e+09,1.161174792638999876e+06,4.106269207438024998e+09,1.146820733424188137e+09,1.656868312069335938e+09,5.271040528519999934e+05,2.002423241833245993e+09,4.937007422533206940e+09,3.659818657955433846e+09,1.330297231782250106e+08,1.390499284531500004e+07
