ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,3.825523324779329777e+09,9.751395958669999382e+05,1.424201530006790876e+09,4.396996538250329494e+08,6.991259357464999892e+06,4.051455351459999220e+05,3.818127526727233887e+09,9.401526700916505814e+09,3.825523931619844437e+09,6.068405149999999821e+02,1.303257379616999999e+07
2.000000000000000000e+00,3.829289555253933907e+09,9.755913968679999234e+05,1.429913555340801716e+09,4.412830127667429447e+08,8.904777010007001460e+06,2.962233306589999702e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829291072253933907e+09,1.517000000000000000e+03,1.303446278810700029e+07
3.000000000000000000e+00,3.828447501225663185e+09,9.752878145899999654e+05,1.425716291668016434e+09,4.401279493591510057e+08,8.782277024457000196e+06,3.487156108739999472e+05,3.819317115430846691e+09,9.404309465776859283e+09,3.828448108066177845e+09,6.068405149999999821e+02,1.303386788477800041e+07
4.000000000000000000e+00,3.828704497297196865e+09,9.753206175079999957e+05,1.425949849284476519e+09,4.401948493200889826e+08,8.804726702190998942e+06,3.349291062360000215e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828705104137711525e+09,6.068405149999999821e+02,1.303386883009799942e+07
5.000000000000000000e+00,3.829023020429534912e+09,9.753767750709999818e+05,1.426643312139529228e+09,4.403883862284129858e+08,8.804787183834999800e+06,3.243551644619999570e+05,3.819893878081237793e+09,9.405705201565921783e+09,3.829023020429534912e+09,0.000000000000000000e+00,1.303417855884299986e+07
6.000000000000000000e+00,5.929972603945400715e+08,1.436776116005999967e+06,7.812717595718584061e+09,2.138108603264811039e+09,2.188294524743400142e+07,3.330718359509999864e+05,5.707914707375471592e+08,1.350697479286135197e+09,5.930074878209320307e+08,1.022742639199999940e+04,1.265296802309099957e+07
7.000000000000000000e+00,3.828704214778885841e+09,9.753220206449999241e+05,1.425949866615203857e+09,4.401948540466510057e+08,8.804726702190998942e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704821619400978e+09,6.068405149999999821e+02,1.303386883009799942e+07
8.000000000000000000e+00,2.750070800949117184e+09,1.139162854617000092e+06,3.070328765977546215e+09,8.737165908967429399e+08,1.399415951659799926e+07,3.214721366189999972e+05,2.735762532295900345e+09,6.664936698858890533e+09,2.750078163949117184e+09,7.363000000000000000e+03,1.292215943597500026e+07
9.000000000000000000e+00,3.823883870795900822e+09,9.750962325770000461e+05,1.423973678368063211e+09,4.396702822849929929e+08,2.805607029340000357e+06,4.143461430249999394e+05,3.820664524464050770e+09,9.407534500512210846e+09,3.823884477636415958e+09,6.068405149999999821e+02,1.302979589135299996e+07
1.000000000000000000e+01,3.829111594942962646e+09,9.754047151949999388e+05,1.427121982311614275e+09,4.405202987206009626e+08,8.804787183834999800e+06,3.205480060149999917e+05,3.819986259753112793e+09,9.405955649862796783e+09,3.829111594942962646e+09,0.000000000000000000e+00,1.303423990625599958e+07
1.100000000000000000e+01,3.829300794989897728e+09,9.754945976339998888e+05,1.428408541989322662e+09,4.408725545799759626e+08,8.904777010007001460e+06,3.059460666230000206e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829300794989897728e+09,0.000000000000000000e+00,1.303473252271099947e+07
1.200000000000000000e+01,3.825477211653475761e+09,9.751421150940000080e+05,1.424204146833316326e+09,4.396997719178069830e+08,6.991259357464999892e+06,4.052154249169999384e+05,3.818081343711608887e+09,9.401417509932130814e+09,3.825477818493990898e+09,6.068405149999999821e+02,1.303257379616999999e+07
1.300000000000000000e+01,3.824434497360659599e+09,9.751321793559999205e+05,1.424098579947870016e+09,4.397118487527669668e+08,2.805607029340000357e+06,4.086774070029999712e+05,3.821220819764831543e+09,9.408909940613773346e+09,3.824435104201174736e+09,6.068405149999999821e+02,1.303026059512000158e+07
1.400000000000000000e+01,6.057446199583051205e+08,1.432161500909000169e+06,7.613887519329906464e+09,2.083999346918066025e+09,2.527338651415800303e+07,4.685601050379999797e+05,5.800175843391090631e+08,1.372170968483400106e+09,6.057595309583051205e+08,1.491100000000000000e+04,1.265482199169800058e+07
1.500000000000000000e+01,3.822207580176148891e+09,9.780608061589999124e+05,1.453922494774636269e+09,4.477001824262290001e+08,9.404348266111001372e+06,2.886311109689999721e+05,3.812518411799068451e+09,9.382242039410160065e+09,3.822211391176148891e+09,3.811000000000000000e+03,1.303332628086300008e+07
1.600000000000000000e+01,3.828869961929764748e+09,9.753400093229999766e+05,1.426244497559578896e+09,4.402774540779010057e+08,8.804726702190998942e+06,3.316844731789999641e+05,3.819734157594910145e+09,9.405308369636234283e+09,3.828870568770279884e+09,6.068405149999999821e+02,1.303393212746199965e+07
