ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
2.000000000000000000e+00,3.829111312424652100e+09,9.754061183319999836e+05,1.427121999642341614e+09,4.405203034471629858e+08,8.804787183834999800e+06,3.202654877039999701e+05,3.819986259753112793e+09,9.405955649862796783e+09,3.829111312424652100e+09,0.000000000000000000e+00,1.303423990625599958e+07
3.000000000000000000e+00,3.825477878975634575e+09,9.751422647230000002e+05,1.424205811221132994e+09,4.397002258417569399e+08,6.991319839108999819e+06,4.052154249169999384e+05,3.818081343711608887e+09,9.401417509932130814e+09,3.825477878975634575e+09,0.000000000000000000e+00,1.303250704450700060e+07
4.000000000000000000e+00,4.002211294626399875e+07,1.473416284284000052e+06,8.346606061334730148e+09,2.276453269467278957e+09,2.956056859827100113e+07,2.282705497653000057e+06,8.193490850339999422e+06,1.946300226464900374e+07,4.003676494626399875e+07,1.465200000000000000e+04,1.258912135612300038e+07
5.000000000000000000e+00,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
6.000000000000000000e+00,3.829300794989897728e+09,9.754961794209999498e+05,1.428418949822655916e+09,4.408753930799759626e+08,8.904777010007001460e+06,3.059460666230000206e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829300794989897728e+09,0.000000000000000000e+00,1.303473233179300092e+07
7.000000000000000000e+00,3.825481878719957829e+09,9.751360924499999965e+05,1.424190238781326294e+09,4.396960151864829659e+08,6.991319839108999819e+06,4.063752200209999573e+05,3.818084183660827637e+09,9.401424178455568314e+09,3.825481878719957829e+09,0.000000000000000000e+00,1.303250558439300023e+07
8.000000000000000000e+00,3.824912884004778862e+09,9.751057257199999876e+05,1.424078329224956512e+09,4.396577647675369978e+08,6.991319839108999819e+06,4.112078163649999769e+05,3.817510356349305153e+09,9.400007079467288971e+09,3.824912884004778862e+09,0.000000000000000000e+00,1.303200312748299912e+07
9.000000000000000000e+00,3.826540325372484684e+09,9.751816151250000112e+05,1.424669343388546228e+09,4.398270200614829659e+08,8.030370729733999819e+06,3.899122197159999632e+05,3.818120042423035145e+09,9.401486508511234283e+09,3.826540325372484684e+09,0.000000000000000000e+00,1.303263191169499978e+07
1.000000000000000000e+01,3.825481878719957829e+09,9.751360924499999965e+05,1.424190238781326294e+09,4.396960151864829659e+08,6.991319839108999819e+06,4.063752200209999573e+05,3.818084183660827637e+09,9.401424178455568314e+09,3.825481878719957829e+09,0.000000000000000000e+00,1.303250558439300023e+07
1.100000000000000000e+01,3.824912884004778862e+09,9.751057257199999876e+05,1.424078329224956512e+09,4.396577647675369978e+08,6.991319839108999819e+06,4.112078163649999769e+05,3.817510356349305153e+09,9.400007079467288971e+09,3.824912884004778862e+09,0.000000000000000000e+00,1.303200312748299912e+07
1.200000000000000000e+01,3.829301811700835705e+09,9.754946814969999250e+05,1.428440468859114170e+09,4.408812619081009626e+08,8.904777010007001460e+06,3.069627775609999662e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829301811700835705e+09,0.000000000000000000e+00,1.303469379834599979e+07
1.300000000000000000e+01,3.829301077508208752e+09,9.754931944969999604e+05,1.428408524658595085e+09,4.408725498534139991e+08,8.904777010007001460e+06,3.062285849339999841e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829301077508208752e+09,0.000000000000000000e+00,1.303473252271099947e+07
1.400000000000000000e+01,1.276510948327329904e+08,1.470163895535999909e+06,8.296289559258885384e+09,2.263842823214349747e+09,3.122931453650100157e+07,1.647689818939000135e+06,9.478722547729299963e+07,2.233729596865250170e+08,1.276642298327329904e+08,1.313500000000000000e+04,1.260256330830899999e+07
1.500000000000000000e+01,3.829028106263518810e+09,9.753825522620000411e+05,1.426697129863591671e+09,4.404018494784129858e+08,8.904777010007001460e+06,3.243551644619999570e+05,3.819798974089049816e+09,9.405482577862796783e+09,3.829028106263518810e+09,0.000000000000000000e+00,1.303417836792499945e+07
1.600000000000000000e+01,3.829025237433990002e+09,9.753901805119999917e+05,1.426773420029778957e+09,4.404224865155229568e+08,8.908313848141999915e+06,3.235844091519999783e+05,3.819793339176695824e+09,9.405451526356937408e+09,3.829025237433990002e+09,0.000000000000000000e+00,1.303417750031000003e+07
1.700000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
1.800000000000000000e+01,3.828704882101044655e+09,9.753237520609999774e+05,1.425961938836353779e+09,4.401981464706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380188751699962e+07
1.900000000000000000e+01,3.829300794989897728e+09,9.754961794209999498e+05,1.428418949822655916e+09,4.408753930799759626e+08,8.904777010007001460e+06,3.059460666230000206e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829300794989897728e+09,0.000000000000000000e+00,1.303473233179300092e+07
2.000000000000000000e+01,3.828698698418427944e+09,9.753221702739999164e+05,1.425948398738698483e+09,4.401944537166949511e+08,8.798603501218000427e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828698698418427944e+09,0.000000000000000000e+00,1.303380272382099926e+07
2.100000000000000000e+01,3.829111312424652100e+09,9.754061183319999836e+05,1.427121999642341614e+09,4.405203034471629858e+08,8.804787183834999800e+06,3.202654877039999701e+05,3.819986259753112793e+09,9.405955649862796783e+09,3.829111312424652100e+09,0.000000000000000000e+00,1.303423990625599958e+07
2.200000000000000000e+01,2.630201726331027985e+09,1.174962487602999900e+06,3.616716578621760368e+09,1.020933834293107986e+09,1.232849552782800049e+07,2.910512761020000326e+05,2.617584658527097702e+09,6.335374022648437500e+09,2.630204205331027985e+09,2.479000000000000000e+03,1.290135468894200027e+07
2.300000000000000000e+01,3.209968617784821510e+09,1.106212126737999963e+06,3.130248589946612358e+09,8.962408832088309526e+08,9.032706338376000524e+06,2.889921720360000036e+05,3.200648214274409294e+09,7.798399090955078125e+09,3.209969912784821510e+09,1.295000000000000000e+03,1.294779897447400168e+07
2.400000000000000000e+01,3.826018949628297806e+09,9.768504570939999539e+05,1.442571586267586708e+09,4.446657581622519493e+08,9.406116973141999915e+06,2.893677596519999788e+05,3.816324722895503998e+09,9.393476349700199127e+09,3.826020207628297806e+09,1.258000000000000000e+03,1.303400149466700107e+07
2.500000000000000000e+01,3.828698698418427944e+09,9.753237520609999774e+05,1.425958806572031975e+09,4.401972922166949511e+08,8.798603501218000427e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828698698418427944e+09,0.000000000000000000e+00,1.303380253290299885e+07
2.600000000000000000e+01,3.829246980246733665e+09,9.754770161289998796e+05,1.428089248670674801e+09,4.407847217440379858e+08,8.904777010007001460e+06,3.096504875209999736e+05,3.820032552749206066e+09,9.406069886206546783e+09,3.829246980246733665e+09,0.000000000000000000e+00,1.303468270069000125e+07
2.700000000000000000e+01,3.828995337423309803e+09,9.753688868569999468e+05,1.426556574670520544e+09,4.403642798768509626e+08,8.804787183834999800e+06,3.249575195649999660e+05,3.819865592719910145e+09,9.405622577229984283e+09,3.828995337423309803e+09,0.000000000000000000e+00,1.303412095929500088e+07
2.800000000000000000e+01,3.828704882101044655e+09,9.753237520609999774e+05,1.425961938836353779e+09,4.401981464706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380188751699962e+07
2.900000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
3.000000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
3.100000000000000000e+01,3.828448168547821999e+09,9.752879642189999577e+05,1.425717956055832863e+09,4.401284032831009626e+08,8.782337506101001054e+06,3.487156108739999472e+05,3.819317115430846691e+09,9.404309465776859283e+09,3.828448168547821999e+09,0.000000000000000000e+00,1.303380113311500102e+07
3.200000000000000000e+01,3.686345984470126152e+09,1.011725288728000014e+06,1.776490905660591125e+09,5.337266137402109504e+08,8.992012271970000118e+06,2.910694943019999773e+05,3.677064197703854084e+09,9.025333902675785065e+09,3.686347279470126152e+09,1.295000000000000000e+03,1.301984515093399957e+07
3.300000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
3.400000000000000000e+01,3.824912884004778862e+09,9.751057257199999876e+05,1.424078329224956512e+09,4.396577647675369978e+08,6.991319839108999819e+06,4.112078163649999769e+05,3.817510356349305153e+09,9.400007079467288971e+09,3.824912884004778862e+09,0.000000000000000000e+00,1.303200312748299912e+07
3.500000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
3.600000000000000000e+01,3.828441984865205288e+09,9.752879642189999577e+05,1.425714823791511059e+09,4.401275490291949511e+08,8.776153823483999819e+06,3.487156108739999472e+05,3.819317115430846691e+09,9.404309465776859283e+09,3.828441984865205288e+09,0.000000000000000000e+00,1.303380177850100026e+07
3.700000000000000000e+01,1.344469073287471056e+09,1.360042153254000004e+06,6.496949421142742157e+09,1.789115867166404963e+09,1.533228418945000321e+07,2.914857689220000757e+05,1.328848337329098940e+09,3.157104590037110329e+09,1.344472107287471056e+09,3.034000000000000000e+03,1.273750067855799943e+07
3.800000000000000000e+01,3.829296092378128052e+09,9.755809129829999292e+05,1.430020310347067833e+09,4.413121277684519887e+08,8.904777010007001460e+06,3.019834548530000029e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829296832378128052e+09,7.400000000000000000e+02,1.303445108496800065e+07
3.900000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
4.000000000000000000e+01,3.829023020429534912e+09,9.753767750709999818e+05,1.426643312139529228e+09,4.403883862284129858e+08,8.804787183834999800e+06,3.243551644619999570e+05,3.819893878081237793e+09,9.405705201565921783e+09,3.829023020429534912e+09,0.000000000000000000e+00,1.303417855884299986e+07
4.100000000000000000e+01,3.828995337423309803e+09,9.753688868569999468e+05,1.426556574670520544e+09,4.403642798768509626e+08,8.804787183834999800e+06,3.249575195649999660e+05,3.819865592719910145e+09,9.405622577229984283e+09,3.828995337423309803e+09,0.000000000000000000e+00,1.303412095929500088e+07
4.200000000000000000e+01,3.828995337423309803e+09,9.753688868569999468e+05,1.426556574670520544e+09,4.403642798768509626e+08,8.804787183834999800e+06,3.249575195649999660e+05,3.819865592719910145e+09,9.405622577229984283e+09,3.828995337423309803e+09,0.000000000000000000e+00,1.303412095929500088e+07
4.300000000000000000e+01,3.829270552807666779e+09,9.755682486979999812e+05,1.429320025036212206e+09,4.411204925968229771e+08,8.908313848141999915e+06,2.989511744319999707e+05,3.820064360785092831e+09,9.406089057606937408e+09,3.829271625807666779e+09,1.073000000000000000e+03,1.303446972528100014e+07
4.400000000000000000e+01,3.825481878719957829e+09,9.751360924499999965e+05,1.424190238781326294e+09,4.396960151864829659e+08,6.991319839108999819e+06,4.063752200209999573e+05,3.818084183660827637e+09,9.401424178455568314e+09,3.825481878719957829e+09,0.000000000000000000e+00,1.303250558439300023e+07
4.500000000000000000e+01,3.829235551429019928e+09,9.756681767959999852e+05,1.431091653646801949e+09,4.416034964815869927e+08,8.908313848141999915e+06,2.914450819179999526e+05,3.820036717498960018e+09,9.406058339284183502e+09,3.829236476429019928e+09,9.250000000000000000e+02,1.303447784402199835e+07
4.600000000000000000e+01,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
