SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,269.017334,376664.375,0.0,0.0,0.0,0.0,2976.652832,17112.996094,0.0,-17112.996094,1381102.7083333333
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,-70760.796875,8389.44043,268633.25,-68285.682129,-336918.93212899996,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2833.71228,114080.507812,0.0,-114080.507812,450114.0416666666
38,324.967468,394880.3125,0.0,0.0,0.0,0.0,2760.796875,1218.246826,0.0,-1218.246826,1447894.4791666665
39,638.227844,787337.4375,0.0,0.0,0.0,0.0,5635.955078,1218.252686,0.0,-1218.252686,2886903.9375
40,697.350342,711532.4375,0.0,17380.908203,43368.914062,-1859932.25,8178.847656,163246.1875,-1842551.341797,-2005797.529297,2608084.892552093
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,9507.572266,424564.21875,0.0,-424564.21875,1549546.0520833333
66,288.947388,351131.40625,0.0,0.0,0.0,0.0,3875.247314,609.104797,0.0,-609.104797,1287481.8229166665
67,792.85083,963495.5,0.0,0.0,0.0,0.0,6628.707031,3045.560059,0.0,-3045.560059,3532816.833333333
68,811.539551,1018171.875,0.0,0.0,0.0,0.0,7870.80957,182124.21875,0.0,-182124.21875,3733296.875
69,741.585449,481899.8125,0.0,0.0,0.0,-29401.664062,8948.074219,193089.625,-29401.664062,-222491.289062,1766965.9791666665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,4155.820435,159645.734375,0.0,-159645.734375,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,16.753716,0.0,0.0,0.0,8909.590902666667
93,338.6875,411869.25,0.0,0.0,0.0,0.0,2828.368408,609.094543,0.0,-609.094543,1510187.25
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7091.33252,0.0,0.0,0.0,3733197.875
95,836.375732,1018144.875,0.0,0.0,0.0,0.0,7184.963379,245465.25,0.0,-245465.25,3733197.875
96,714.68457,734924.125,0.0,0.0,0.0,-3445422.75,8218.759766,218666.5,-3445422.75,-3664089.25,2694721.7916666665
97,720.234741,421575.625,0.0,0.0,0.0,0.0,8546.685547,261303.6875,0.0,-261303.6875,1545777.2916666665
121,752.038467,914845.34375,0.0,0.0,0.0,0.0,6209.059082,85270.733643,0.0,-85270.733643,3354432.927083333
122,855.303284,1042416.625,0.0,0.0,0.0,0.0,7399.942383,52989.488281,0.0,-52989.488281,3822194.2916666665
123,857.887085,1042416.625,0.0,0.0,0.0,0.0,7287.90625,204651.40625,0.0,-204651.40625,3822194.2916666665
124,854.928955,1042416.625,0.0,0.0,0.0,0.0,8319.305664,318550.6875,0.0,-318550.6875,3822194.2916666665
125,736.336304,585827.6875,0.0,0.0,0.0,-39404.40625,8160.975098,241196.671875,-39404.40625,-280601.078125,2148034.8541666665
126,272.918411,160524.542969,0.0,1622.963379,8872.390625,-18550.960938,3101.753296,66618.480469,-16927.997559,-83546.478028,588412.5430738333
148,492.948975,598944.625,0.0,0.0,0.0,0.0,4891.830566,176019.09375,0.0,-176019.09375,2196130.2916666665
149,836.659912,1018090.375,0.0,0.0,0.0,0.0,7116.766602,57251.453125,0.0,-57251.453125,3732998.0416666665
150,837.743896,1018090.375,0.0,0.0,0.0,0.0,7282.412109,177237.4375,0.0,-177237.4375,3732998.0416666665
151,837.904419,1018090.375,0.0,0.0,0.0,0.0,7584.407227,381276.6875,0.0,-381276.6875,3732998.0416666665
152,823.64624,1012651.8125,0.0,0.0,0.0,-15422.873047,7744.583008,233272.0,-15422.873047,-248694.873047,3713056.645833333
153,593.932129,348868.5,0.0,1718.776855,4308.208008,-407214.0,6314.893066,185823.140625,-405495.223145,-591318.3637699999,1279098.33583984
176,91.982498,111766.734375,0.0,0.0,0.0,0.0,1446.687622,11571.853516,0.0,-11571.853516,409811.359375
177,837.263855,1018061.734375,0.0,0.0,0.0,0.0,7197.654419,347158.554688,0.0,-347158.554688,3732893.0260416665
178,837.870178,1018061.75,0.0,0.0,0.0,0.0,7348.666016,224739.34375,0.0,-224739.34375,3732893.083333333
179,836.843628,1018061.75,0.0,0.0,0.0,0.0,7439.317383,327669.0,0.0,-327669.0,3732893.083333333
180,776.125366,843131.125,0.0,0.0,0.0,-2125954.0,7823.638672,248493.484375,-2125954.0,-2374447.484375,3091480.7916666665
181,730.853882,757248.125,0.0,2414.926025,13307.585938,-177346.96875,7303.870605,130946.164062,-174932.042725,-305878.206787,2776310.306614573
204,839.787598,1020463.25,0.0,0.0,0.0,0.0,8318.469727,298425.5,0.0,-298425.5,3741698.583333333
205,839.917542,1020463.25,0.0,0.0,0.0,0.0,7454.148438,376382.125,0.0,-376382.125,3741698.583333333
206,839.435791,1020463.25,0.0,0.0,0.0,0.0,7402.617676,191847.09375,0.0,-191847.09375,3741698.583333333
207,839.839111,1020463.25,0.0,0.0,0.0,0.0,8168.209961,65776.40625,0.0,-65776.40625,3741698.583333333
208,837.311829,1019039.625,0.0,0.0,0.0,0.0,7455.618164,102318.625,0.0,-102318.625,3736478.625
209,40.626453,23533.232422,0.0,3219.922363,17743.5625,-102567.570312,440.071198,11048.398438,-99347.64794899999,-110396.046387,85933.64763066667
232,411.667297,500496.78125,0.0,0.0,0.0,0.0,3605.385254,185748.46875,0.0,-185748.46875,1835154.8645833333
233,836.925873,1018003.71875,0.0,0.0,0.0,0.0,7729.421875,457371.0625,0.0,-457371.0625,3732680.302083333
234,837.881714,1018003.6875,0.0,0.0,0.0,0.0,7368.476562,185139.71875,0.0,-185139.71875,3732680.1875
235,835.760132,1018003.6875,0.0,0.0,0.0,0.0,8114.332031,118759.0625,0.0,-118759.0625,3732680.1875
236,837.452271,1018003.6875,0.0,0.0,0.0,0.0,7517.631836,98051.015625,0.0,-98051.015625,3732680.1875
237,442.97049,541805.75,0.0,0.0,0.0,0.0,4217.478516,2436.119385,0.0,-2436.119385,1986621.0833333333
259,48.5075,66307.640625,0.0,0.0,0.0,0.0,920.757385,29840.207031,0.0,-29840.207031,243128.015625
260,834.882263,1017974.5,0.0,0.0,0.0,0.0,8358.076172,282577.1875,0.0,-282577.1875,3732573.1666666665
261,837.314575,1017974.5,0.0,0.0,0.0,0.0,7545.452148,229593.0625,0.0,-229593.0625,3732573.1666666665
262,837.749695,1017974.5,0.0,0.0,0.0,0.0,8116.900391,132761.84375,0.0,-132761.84375,3732573.1666666665
263,837.459167,1017974.5,0.0,0.0,0.0,0.0,7735.427246,70644.265625,0.0,-70644.265625,3732573.1666666665
264,543.259399,660835.125,0.0,0.0,0.0,0.0,5075.628906,53591.707031,0.0,-53591.707031,2423062.125
288,725.687622,868040.1875,0.0,0.0,0.0,-4267729.0,9564.556641,398880.5,-4267729.0,-4666609.5,3182814.020833333
289,836.718414,1017943.5,0.0,0.0,0.0,0.0,8095.470947,262468.894531,0.0,-262468.894531,3732459.5
290,837.605469,1017943.5,0.0,0.0,0.0,0.0,8159.026367,31666.814453,0.0,-31666.814453,3732459.5
291,837.609009,1017943.5,0.0,0.0,0.0,0.0,7767.578613,27403.988281,0.0,-27403.988281,3732459.5
292,837.263062,1017943.5,0.0,0.0,0.0,0.0,7519.582031,95609.125,0.0,-95609.125,3732459.5
293,43.606899,53446.660156,0.0,0.0,0.0,0.0,402.912415,0.0,0.0,0.0,195971.08723866666
302,97.76384,183155.40625,0.0,0.0,0.0,0.0,952.331909,0.0,0.0,0.0,671569.8229166666
303,69.671097,130039.125,0.0,0.0,0.0,0.0,640.027161,0.0,0.0,0.0,476810.125
315,454.541565,862645.0625,0.0,0.0,0.0,0.0,5265.689453,215571.53125,0.0,-215571.53125,3163031.895833333
316,746.948547,842466.875,0.0,0.0,0.0,-6439600.0,8923.082031,332490.59375,-6439600.0,-6772090.59375,3089045.208333333
317,855.584473,1042206.25,0.0,0.0,0.0,0.0,7833.266602,257589.90625,0.0,-257589.90625,3821422.9166666665
318,857.9104,1042206.25,0.0,0.0,0.0,0.0,7830.824219,11570.201172,0.0,-11570.201172,3821422.9166666665
319,857.86084,1042206.25,0.0,0.0,0.0,0.0,7916.661133,80992.054688,0.0,-80992.054688,3821422.9166666665
320,795.735474,966894.0,0.0,0.0,0.0,0.0,7613.086914,40190.839844,0.0,-40190.839844,3545278.0
321,6.8697,8502.648438,0.0,0.0,0.0,0.0,63.981766,3187.37207,0.0,-3187.37207,31176.377606
330,735.734375,1388294.5,0.0,0.0,0.0,0.0,6920.452148,608.969666,0.0,-608.969666,5090413.166666666
331,132.790792,243590.566406,0.0,0.0,0.0,0.0,1199.075211,0.0,0.0,0.0,893165.4101553333
343,44.935501,82415.804688,0.0,0.0,0.0,0.0,918.954285,22530.712891,0.0,-22530.712891,302191.283856
344,719.547485,969775.3125,0.0,0.0,0.0,-8840023.0,8537.78418,269152.71875,-8840023.0,-9109175.71875,3555842.8125
345,834.77121,1017880.921875,0.0,0.0,0.0,0.0,7915.992432,353795.582031,0.0,-353795.582031,3732230.046875
346,837.102783,1017880.875,0.0,0.0,0.0,0.0,8046.084961,41408.042969,0.0,-41408.042969,3732229.875
347,837.816528,1017880.875,0.0,0.0,0.0,0.0,7559.001465,10352.140625,0.0,-10352.140625,3732229.875
348,837.823669,1017880.875,0.0,0.0,0.0,0.0,7775.864746,19486.296875,0.0,-19486.296875,3732229.875
349,834.338745,1017880.875,0.0,0.0,0.0,0.0,7805.648438,78030.21875,0.0,-78030.21875,3732229.875
351,143.77887,179765.9375,0.0,0.0,0.0,0.0,1651.666138,608.934448,0.0,-608.934448,659141.7708333333
352,91.943001,111745.46875,0.0,0.0,0.0,0.0,885.992126,0.0,0.0,0.0,409733.3854166666
353,30.996004,37653.210938,0.0,0.0,0.0,0.0,279.051239,608.9245,0.0,-608.9245,138061.7734393333
357,5.9629,10988.505859,0.0,0.0,0.0,0.0,51.430702,0.0,0.0,0.0,40291.18814966667
358,279.381592,523802.59375,0.0,0.0,0.0,0.0,2587.403809,0.0,0.0,0.0,1920609.5104166665
359,828.622925,1534773.625,0.0,0.0,0.0,0.0,7477.655762,608.930725,0.0,-608.930725,5627503.291666666
360,17.987598,32965.558594,0.0,0.0,0.0,0.0,160.286896,3653.54834,0.0,-3653.54834,120873.71484466667
371,816.073364,1496264.375,0.0,0.0,0.0,0.0,9123.150146,247831.25,0.0,-247831.25,5486302.708333333
372,826.57663,996838.53125,0.0,0.0,0.0,-685853.375,8391.368286,395190.09375,-685853.375,-1081043.46875,3655074.614583333
373,825.902603,1017848.09375,0.0,0.0,0.0,0.0,7699.263184,80377.888672,0.0,-80377.888672,3732109.677083333
374,836.429718,1017848.09375,0.0,0.0,0.0,0.0,7516.213013,17049.917969,0.0,-17049.917969,3732109.677083333
375,835.038757,1017848.09375,0.0,0.0,0.0,0.0,7540.136353,17658.616211,0.0,-17658.616211,3732109.677083333
