SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,267.725739,371994.0625,0.0,0.0,0.0,-178846.53125,3064.102539,176377.890625,-178846.53125,-355224.421875,1363978.2291666665
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,-70760.796875,8559.579102,2811206.75,-68285.682129,-2879492.432129,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2887.879944,1180587.1875,0.0,-1180587.1875,450114.0416666666
38,324.507446,393712.75,0.0,0.0,0.0,-40068.230469,2837.967285,12593.998047,-40068.230469,-52662.228516,1443613.4166666665
39,637.318115,785002.3125,0.0,0.0,0.0,-81422.039062,6006.898926,12594.058594,-81422.039062,-94016.097656,2878341.8125
40,681.686768,695234.0,0.0,17380.908203,43368.914062,-2264837.25,8534.881836,1701826.875,-2247456.341797,-3949283.216797,2548323.955052093
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,9685.422852,4403281.5,0.0,-4403281.5,1549546.0520833333
66,288.489197,349963.875,0.0,0.0,0.0,-65884.414062,3945.93457,6296.806152,-65884.414062,-72181.220214,1283200.875
67,790.589722,957657.875,0.0,0.0,0.0,-175416.21875,7050.65332,31484.404297,-175416.21875,-206900.623047,3511412.208333333
68,681.799438,669079.75,0.0,0.0,0.0,-7509010.5,8545.136719,1882764.5,-7509010.5,-9391775.0,2453292.4166666665
69,741.424438,481899.8125,0.0,0.0,0.0,-29401.664062,9201.210938,1998966.75,-29401.664062,-2028368.414062,1766965.9791666665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,4230.875732,1649853.5,0.0,-1649853.5,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,17.758396,0.0,0.0,0.0,8909.590902666667
93,338.230469,410701.75,0.0,0.0,0.0,-46448.332031,3015.773438,6296.700195,-46448.332031,-52745.032225999996,1505906.4166666665
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7545.077148,0.0,0.0,0.0,3733197.875
