SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,269.017334,376664.375,0.0,0.0,0.0,0.0,2901.929199,0.0,0.0,0.0,1381102.7083333333
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,-70760.796875,7146.75,59725.296875,-68285.682129,-128010.979004,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2362.685242,2843.981445,0.0,-2843.981445,450114.0416666666
38,324.967468,394880.3125,0.0,0.0,0.0,0.0,2763.025146,0.0,0.0,0.0,1447894.4791666665
39,638.227844,787337.4375,0.0,0.0,0.0,0.0,5623.841309,0.0,0.0,0.0,2886903.9375
40,715.043823,811615.125,0.0,50581.984375,125769.851562,-70830.953125,7363.137695,58378.125,-20248.96875,-78627.09375,2973406.72796876
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,7846.833008,14811.835938,0.0,-14811.835938,1549546.0520833333
66,288.947388,351131.40625,0.0,0.0,0.0,0.0,3877.34668,0.0,0.0,0.0,1287481.8229166665
67,792.85083,963495.5,0.0,0.0,0.0,0.0,6637.875,0.0,0.0,0.0,3532816.833333333
68,811.539551,1018171.875,0.0,0.0,0.0,0.0,7637.735352,0.0,0.0,0.0,3733296.875
69,741.700195,482811.0625,0.0,0.0,0.0,0.0,7478.026367,5687.889648,0.0,-5687.889648,1770307.2291666665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,3388.293457,0.0,0.0,0.0,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,16.782711,0.0,0.0,0.0,8909.590902666667
93,338.6875,411869.25,0.0,0.0,0.0,0.0,2833.691162,0.0,0.0,0.0,1510187.25
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7103.274414,0.0,0.0,0.0,3733197.875
95,836.375732,1018144.875,0.0,0.0,0.0,0.0,7178.186523,0.0,0.0,0.0,3733197.875
96,782.996948,1000808.0,0.0,0.0,0.0,0.0,7497.313477,27592.958984,0.0,-27592.958984,3669629.333333333
97,720.234741,421575.625,0.0,0.0,0.0,0.0,7130.052246,21682.511719,0.0,-21682.511719,1545777.2916666665
121,752.038467,914845.34375,0.0,0.0,0.0,0.0,6222.615967,0.0,0.0,0.0,3354432.927083333
122,855.303284,1042416.625,0.0,0.0,0.0,0.0,7414.491211,0.0,0.0,0.0,3822194.2916666665
123,857.887085,1042416.625,0.0,0.0,0.0,0.0,7309.630859,0.0,0.0,0.0,3822194.2916666665
124,854.928955,1042416.625,0.0,0.0,0.0,0.0,8118.576172,0.0,0.0,0.0,3822194.2916666665
125,738.397705,594161.25,0.0,0.0,0.0,-32194.474609,7112.673828,50341.554688,-32194.474609,-82536.029297,2178591.25
126,272.830841,160980.144531,0.0,2434.445068,13308.585938,-6183.682617,2629.118103,5687.537598,-3749.2375490000004,-9436.775147,589994.3582282399
148,492.948975,598944.625,0.0,0.0,0.0,0.0,4911.423828,0.0,0.0,0.0,2196130.2916666665
149,836.659912,1018090.375,0.0,0.0,0.0,0.0,7141.147461,0.0,0.0,0.0,3732998.0416666665
150,837.743896,1018090.375,0.0,0.0,0.0,0.0,7302.867188,0.0,0.0,0.0,3732998.0416666665
151,837.904419,1018090.375,0.0,0.0,0.0,0.0,7591.236816,0.0,0.0,0.0,3732998.0416666665
152,824.088745,1014531.125,0.0,0.0,0.0,0.0,7257.453613,2062.287109,0.0,-2062.287109,3719947.458333333
153,593.989868,349324.0625,0.0,1718.776855,4308.208008,-394846.9375,5497.091309,127965.164062,-393128.160645,-521093.324707,1280768.7316731731
176,91.982498,111766.734375,0.0,0.0,0.0,0.0,1453.684937,0.0,0.0,0.0,409811.359375
177,837.263855,1018061.734375,0.0,0.0,0.0,0.0,7231.223145,0.0,0.0,0.0,3732893.0260416665
178,837.870178,1018061.75,0.0,0.0,0.0,0.0,7374.378906,0.0,0.0,0.0,3732893.083333333
179,836.843628,1018061.75,0.0,0.0,0.0,0.0,7463.295898,0.0,0.0,0.0,3732893.083333333
180,814.983459,971289.125,0.0,0.0,0.0,-9533.548828,7719.577148,9811.740234,-9533.548828,-19345.289062000003,3561393.458333333
181,733.41803,766188.875,0.0,3219.904785,17743.466797,-123058.585938,6678.323242,117610.742188,-119838.681153,-237449.423341,2809004.338997393
204,839.787598,1020463.25,0.0,0.0,0.0,0.0,8362.543945,0.0,0.0,0.0,3741698.583333333
205,839.917542,1020463.25,0.0,0.0,0.0,0.0,7489.555176,0.0,0.0,0.0,3741698.583333333
206,839.435791,1020463.25,0.0,0.0,0.0,0.0,7423.752441,0.0,0.0,0.0,3741698.583333333
207,839.839111,1020463.25,0.0,0.0,0.0,0.0,8179.143555,0.0,0.0,0.0,3741698.583333333
208,837.311829,1019039.625,0.0,0.0,0.0,0.0,7198.546387,0.0,0.0,0.0,3736478.625
209,42.017487,27434.078125,0.0,4024.901123,22179.443359,-3536.838135,395.45755,5687.1875,488.06298800000013,-5199.124512,100148.03092448665
232,411.667297,500496.78125,0.0,0.0,0.0,0.0,3625.708008,0.0,0.0,0.0,1835154.8645833333
233,836.925873,1018003.71875,0.0,0.0,0.0,0.0,7772.97583,0.0,0.0,0.0,3732680.302083333
234,837.881714,1018003.6875,0.0,0.0,0.0,0.0,7395.682129,0.0,0.0,0.0,3732680.1875
235,835.760132,1018003.6875,0.0,0.0,0.0,0.0,8130.271484,0.0,0.0,0.0,3732680.1875
236,837.452271,1018003.6875,0.0,0.0,0.0,0.0,7488.523438,0.0,0.0,0.0,3732680.1875
237,442.97049,541805.75,0.0,0.0,0.0,0.0,4032.775391,0.0,0.0,0.0,1986621.0833333333
259,48.5075,66307.640625,0.0,0.0,0.0,0.0,929.770386,0.0,0.0,0.0,243128.015625
