SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,193.418915,121505.242188,0.0,390061.96875,971484.6875,0.0,2933.041992,0.0,390061.96875,390061.96875,426089.527606
13,647.5495,449292.5625,0.0,9959.418945,53466.15625,-70760.796875,7173.614746,0.0,-60801.37793,-60801.37793,1646336.739375
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2366.521912,0.0,0.0,0.0,450114.0416666666
38,247.423889,204655.0625,0.0,202237.296875,735454.125,0.0,2815.212891,0.0,202237.296875,202237.296875,735692.8133333332
39,386.893311,148310.328125,0.0,840545.375,2450900.25,0.0,5726.237793,0.0,840545.375,840545.375,494786.53145833325
40,606.679932,487545.84375,0.0,641829.8125,1600315.125,-40694.066406,7435.238281,0.0,601135.7460940001,601135.7460940001,1755661.79125
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,7861.142578,0.0,0.0,0.0,1549546.0520833333
66,158.241699,31058.310547,0.0,471954.03125,1218893.25,0.0,3961.636719,0.0,471954.03125,471954.03125,89502.60700566666
67,467.594666,158179.8125,0.0,1040672.0,3087368.0,0.0,6775.937988,0.0,1040672.0,1040672.0,518245.28583333327
68,452.566223,63635.742188,0.0,1439987.5,3634269.5,0.0,7772.246582,0.0,1439987.5,1439987.5,160645.6646893333
69,731.863403,457466.875,0.0,44909.421875,112757.679688,0.0,7517.005859,0.0,44909.421875,44909.421875,1675123.3880729065
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,3390.145386,0.0,0.0,0.0,697278.9713559999
92,1.068648,151.868027,0.0,3071.366455,8929.722656,0.0,17.312048,0.0,3071.366455,3071.366455,378.2549792133333
93,182.198441,25741.828125,0.0,504157.8125,1502967.75,0.0,2917.865967,0.0,504157.8125,504157.8125,64327.348125000004
94,454.107117,63634.054688,0.0,1391873.0,3617610.5,0.0,7282.326172,0.0,1391873.0,1391873.0,160972.6571893333
95,456.09259,63634.054688,0.0,1410844.5,3617610.5,0.0,7353.837891,0.0,1410844.5,1410844.5,160972.6571893333
96,498.637787,199818.9375,0.0,1213280.5,3066654.5,0.0,7583.06543,0.0,1213280.5,1213280.5,671336.3475
97,720.234741,421575.625,0.0,0.0,0.0,0.0,7143.144531,0.0,0.0,0.0,1545777.2916666665
121,404.384415,57177.833984,0.0,1214670.375,3355224.5,0.0,6421.654541,0.0,1214670.375,1214670.375,142547.56794133328
122,464.609619,65151.039062,0.0,1388017.25,3647616.75,0.0,7626.390625,0.0,1388017.25,1388017.25,165934.80822733336
123,470.314941,65151.039062,0.0,1399299.875,3626209.25,0.0,7521.422852,0.0,1399299.875,1399299.875,166362.95822733335
124,561.961548,298642.40625,0.0,1086948.75,2769869.5,0.0,8269.689453,0.0,1086948.75,1086948.75,1039624.76625
125,736.336304,585827.6875,0.0,0.0,0.0,-39404.40625,7149.990234,0.0,-39404.40625,-39404.40625,2148034.8541666665
126,272.830841,160125.890625,0.0,2434.445068,13308.585938,-6183.682617,2631.947144,0.0,-3749.2375490000004,-3749.2375490000004,586862.09390624
148,264.900208,37434.039062,0.0,757624.0,2201093.0,0.0,5102.314941,0.0,757624.0,757624.0,93236.28322733335
149,453.540283,63630.648438,0.0,1403414.0,3739709.0,0.0,7376.919434,0.0,1403414.0,1403414.0,158518.19760599994
150,459.731873,63630.648438,0.0,1337335.625,3500521.75,0.0,7524.821289,0.0,1337335.625,1337335.625,163301.94260599997
151,495.941559,151331.5625,0.0,1234517.375,3178875.0,0.0,7775.812988,0.0,1234517.375,1234517.375,491304.89583333326
152,798.677307,943201.375,0.0,101991.765625,258994.328125,0.0,7328.508789,0.0,101991.765625,101991.765625,3453225.1551041664
153,593.844055,348896.96875,0.0,2530.243164,8744.318359,-394846.9375,5508.311035,0.0,-392316.694336,-392316.694336,1279113.9990494866
176,49.447205,6985.420898,0.0,154343.578125,410737.3125,0.0,1525.450317,0.0,154343.578125,154343.578125,17398.463709333333
177,453.461487,63628.858398,0.0,1394101.03125,3741328.0,0.0,7487.180054,0.0,1394101.03125,1394101.03125,158479.25412599999
178,458.059326,63628.859375,0.0,1332902.25,3524571.0,0.0,7614.257812,0.0,1332902.25,1332902.25,162814.39770833333
179,462.355225,63628.859375,0.0,1346981.0,3500423.0,0.0,7670.666992,0.0,1346981.0,1346981.0,163297.3577083333
180,630.148926,500342.3125,0.0,678809.8125,1737660.125,-9533.548828,7843.00293,0.0,669276.263672,669276.263672,1799835.2766666666
181,730.353882,756507.75,0.0,6439.800781,35486.886719,-137206.078125,6701.256836,0.0,-130766.277344,-130766.277344,2773152.01226562
204,453.545349,63778.953125,0.0,1424154.5,3750153.5,0.0,8692.808594,0.0,1424154.5,1424154.5,158853.0914583333
205,458.032959,63778.953125,0.0,1402900.875,3748141.25,0.0,7746.667969,0.0,1402900.875,1402900.875,158893.3364583333
206,461.987885,63778.953125,0.0,1336744.125,3508680.5,0.0,7643.383301,0.0,1336744.125,1336744.125,163682.55145833333
207,463.309418,63778.953125,0.0,1359842.375,3508680.5,0.0,8346.672852,0.0,1359842.375,1359842.375,163682.55145833333
208,805.036133,937039.125,0.0,117722.859375,300740.40625,0.0,7256.897949,0.0,117722.859375,117722.859375,3429795.316875
209,39.596161,21312.314453,0.0,9659.813477,53230.949219,-3536.838135,396.206635,0.0,6122.975342,6122.975342,77080.53400995334
232,222.50322,31281.048828,0.0,628862.5,1839301.75,0.0,3758.504883,0.0,628862.5,628862.5,77911.14403599998
233,455.743637,63625.232422,0.0,1384791.875,3741114.75,0.0,8042.591553,0.0,1384791.875,1384791.875,158470.22388066666
234,459.028839,63625.230469,0.0,1327671.0,3524658.0,0.0,7628.320801,0.0,1327671.0,1327671.0,162799.35171966665
235,462.567139,63625.230469,0.0,1341726.0,3500224.0,0.0,8318.1875,0.0,1341726.0,1341726.0,163288.03171966667
236,462.41571,63625.230469,0.0,1361377.5,3500224.0,0.0,7602.953613,0.0,1361377.5,1361377.5,163288.03171966667
237,435.484955,522445.03125,0.0,27998.142578,71006.25,0.0,4047.183105,0.0,27998.142578,27998.142578,1914211.65625
259,26.509607,3720.138184,0.0,80332.523438,218741.265625,0.0,981.745239,0.0,80332.523438,80332.523438,9265.681362166666
260,454.7258,63623.40625,0.0,1385775.25,3741007.5,0.0,8681.585938,0.0,1385775.25,1385775.25,158465.67291666666
261,458.058228,63623.40625,0.0,1393329.5,3738995.0,0.0,7825.461914,0.0,1393329.5,1393329.5,158505.92291666666
262,460.749817,63623.40625,0.0,1327540.75,3500123.5,0.0,8325.21875,0.0,1327540.75,1327540.75,163283.35291666666
263,462.352783,63623.40625,0.0,1348416.0,3500123.5,0.0,7905.891602,0.0,1348416.0,1348416.0,163283.35291666666
264,348.888367,168855.421875,0.0,703237.75,1804356.25,0.0,5057.203125,0.0,703237.75,703237.75,583049.421875
288,438.343811,61343.796875,0.0,1311545.375,3606968.5,0.0,10031.624023,0.0,1311545.375,1311545.375,152787.88520833332
289,457.499222,63621.46875,0.0,1378024.6875,3740893.625,0.0,8404.422241,0.0,1378024.6875,1378024.6875,158460.84625
290,457.824829,63621.46875,0.0,1321737.25,3524449.5,0.0,8386.341797,0.0,1321737.25,1321737.25,162789.72875
291,461.0495,63621.46875,0.0,1333553.875,3500016.75,0.0,7946.726562,0.0,1333553.875,1333553.875,163278.38374999998
292,462.004761,63621.46875,0.0,1354803.5,3500016.75,0.0,7656.114258,0.0,1354803.5,1354803.5,163278.38374999998
293,36.541702,35226.210938,0.0,12175.65918,68942.148438,0.0,403.110107,0.0,12175.65918,12175.65918,127783.93047057331
302,97.76384,183155.40625,0.0,0.0,0.0,0.0,956.348267,0.0,0.0,0.0,671569.8229166666
303,69.671097,130039.125,0.0,0.0,0.0,0.0,646.418396,0.0,0.0,0.0,476810.125
315,257.93631,35757.308594,0.0,770842.375,2102502.25,0.0,5530.8125,0.0,770842.375,770842.375,89060.08651133334
316,466.985657,65061.972656,0.0,1409652.75,3825594.5,0.0,9274.166016,0.0,1409652.75,1409652.75,162048.67640533333
317,469.514404,65137.890625,0.0,1419771.75,3827759.0,0.0,8096.366211,0.0,1419771.75,1419771.75,162283.75229166663
