ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,nan,1.469164881240000017e+06,8.277975440465642929e+09,2.257747314939071178e+09,nan,2.922251099462000187e+06,9.084617640870999545e+06,2.156904888085699826e+07,nan,0.000000000000000000e+00,1.258734770268400013e+07
2.000000000000000000e+00,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
3.000000000000000000e+00,nan,1.469133399672000203e+06,8.277142173005998611e+09,2.257520060177350044e+09,nan,2.922648842932000291e+06,9.084617640870999545e+06,2.156904888085699826e+07,nan,0.000000000000000000e+00,1.258805898991299979e+07
4.000000000000000000e+00,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
5.000000000000000000e+00,nan,9.854636800280000316e+05,1.555049802944903374e+09,4.744816642604620457e+08,nan,3.352917428809999838e+05,3.751112449696283817e+09,9.235814967172857285e+09,nan,0.000000000000000000e+00,1.302952065727699921e+07
6.000000000000000000e+00,nan,1.465387384738000110e+06,8.218810857200647354e+09,2.241946736054667950e+09,nan,2.947815614864000119e+06,3.423251181762900203e+07,8.302541665673398972e+07,nan,0.000000000000000000e+00,1.260830319533799961e+07
7.000000000000000000e+00,nan,1.468909081914999988e+06,8.272248232776498795e+09,2.256185349205667973e+09,nan,2.926355175848999992e+06,9.084617640870999545e+06,2.156904888085699826e+07,nan,0.000000000000000000e+00,1.260140688263700157e+07
8.000000000000000000e+00,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
9.000000000000000000e+00,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.000000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.100000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.200000000000000000e+01,nan,1.469164881240000017e+06,8.277975440465642929e+09,2.257747314939071178e+09,nan,2.922251099462000187e+06,9.084617640870999545e+06,2.156904888085699826e+07,nan,0.000000000000000000e+00,1.258734770268400013e+07
1.300000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.400000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.500000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.600000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
1.700000000000000000e+01,nan,1.196306488427000120e+06,4.416604696473089218e+09,1.233139362689964056e+09,nan,1.393687134865000146e+06,2.133524321793085098e+09,5.245315002838866234e+09,nan,0.000000000000000000e+00,1.283804652827499807e+07
1.800000000000000000e+01,nan,1.469164881240000017e+06,8.277975440465642929e+09,2.257747314939071178e+09,nan,2.922251099462000187e+06,9.084617640870999545e+06,2.156904888085699826e+07,nan,0.000000000000000000e+00,1.258734770268400013e+07
1.900000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
2.000000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
2.100000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
2.200000000000000000e+01,nan,1.469133399672000203e+06,8.277142173005998611e+09,2.257520060177350044e+09,nan,2.922648842932000291e+06,9.084617640870999545e+06,2.156904888085699826e+07,nan,0.000000000000000000e+00,1.258805898991299979e+07
2.300000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
2.400000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
2.500000000000000000e+01,nan,1.468702662936000153e+06,8.268619914553566933e+09,2.255196344231914043e+09,nan,2.946802376761000138e+06,9.125903312745999545e+06,2.166738150585699826e+07,nan,0.000000000000000000e+00,1.260489872711700015e+07
2.600000000000000000e+01,nan,1.468715916428000201e+06,8.268839080358252525e+09,2.255256116724101067e+09,nan,2.945468524054000154e+06,9.125903312745999545e+06,2.166738150585699826e+07,nan,0.000000000000000000e+00,1.260465917793099955e+07
2.700000000000000000e+01,nan,9.759362068529999815e+05,1.429979562894499063e+09,4.413505068786879778e+08,nan,2.999043765639999765e+05,3.823824918443842888e+09,9.415281449701177597e+09,nan,0.000000000000000000e+00,1.303837742851300165e+07
2.800000000000000000e+01,nan,9.792008493129999842e+05,1.472672142037648439e+09,4.526540227180430293e+08,nan,3.147884095530000050e+05,3.798551701606441021e+09,9.352963729758794785e+09,nan,0.000000000000000000e+00,1.303535085096799955e+07
