SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,905.664211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,905.740135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,939.97808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,936.509071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,918.785099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,958.819307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1006.445311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1050.943497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1048.532876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1030.620544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,975.102095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,918.646069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,923.221677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,954.643401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,954.049388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,963.545999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,952.642179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,953.052088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,968.945378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,987.146244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,960.768562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,949.377647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,949.242256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,905.703072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,905.480164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,543.276348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,895.217881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,868.490741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,902.935112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,885.283138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,932.686969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,964.293247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1045.390015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1109.304754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1088.159994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1066.436829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1050.060308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,974.419592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,975.366104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,989.535946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,985.498922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1014.245514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1011.598896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,999.583849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,991.882678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,1013.413429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,988.98972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,974.973634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,962.016207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,919.990448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,920.77059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,547.36012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,911.091301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,889.497239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,912.610463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,940.048376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,955.732371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,995.195172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,1045.896999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,1069.927779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,1044.503215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,1043.892506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1071.482655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,1079.774982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,1017.002517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,1002.871724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,1002.155781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,1021.967419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
