SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1152.828491,143995.397461,0.0,5531273.640625,13710135.5625,0.0,0.0,0.0,5531273.640625,5531273.640625,253780.4127736666
2,1164.510391,195580.197754,143.694926,5445430.34375,13521430.34375,0.0,0.0,0.0,5445574.038676,5445574.038676,446698.78488966665
3,1229.927233,282710.065918,126.139377,5531256.257812,13772830.3125,0.0,0.0,0.0,5531382.397189,5531382.397189,761146.9687826666
4,1202.504746,185679.865326,64.047722,5676934.272461,14070957.860352,488374.0,0.0,0.0,6165372.320183,6165372.320183,399407.01565495995
5,1174.366513,166512.849487,635.14444,5721472.613281,14180959.09375,0.0,0.0,0.0,5722107.757721,5722107.757721,326927.9329106667
6,1225.374463,160403.749878,681.067505,5856688.632812,14531002.382812,0.0,0.0,0.0,5857369.700317,5857369.700317,297527.03522975993
7,1282.28108,173215.170654,420.309708,6069842.082031,15166101.5625,0.0,0.0,0.0,6070262.391739001,6070262.391739001,331800.2611479999
8,1345.334917,227740.012085,1000.144894,6320616.859375,15708925.34375,62077.611328,0.0,0.0,6383694.615597,6383694.615597,520868.20410333324
9,1351.703193,311465.981445,2515.084579,6292817.125,15523818.15625,63771.783203,0.0,0.0,6359103.992782,6359103.992782,831565.56884
10,1315.520649,210331.248047,1155.607254,6369468.837891,15700696.583984,293020.457031,0.0,0.0,6663644.902176001,6663644.902176001,457200.6444926533
11,1257.304767,234410.067764,683.377167,5980911.487061,14756493.483398,129738.539062,0.0,0.0,6111333.403290001,6111333.403290001,564373.7121333734
12,1170.918558,193576.513184,373.027527,5835443.875,14447500.96875,0.0,0.0,0.0,5835816.902527,5835816.902527,420830.52896633337
13,1169.836189,154410.939575,303.289978,5822332.292969,14469794.25,0.0,0.0,0.0,5822635.582947,5822635.582947,276777.56010833324
14,1219.349777,167559.394531,453.063431,5953440.132812,14912669.6875,0.0,0.0,0.0,5953893.196243,5953893.196243,316131.0528636666
15,1231.534062,174916.427795,1303.113403,6005527.423828,15002740.984375,0.0,0.0,0.0,6006830.537231,6006830.537231,341305.4155608333
16,1235.241489,166571.849609,724.579895,6075039.449219,15091628.234375,0.0,0.0,0.0,6075764.029114,6075764.029114,308930.88387883327
17,1214.751757,164284.317329,468.162079,6079997.046143,15081337.604004,0.0,0.0,0.0,6080465.208222,6080465.208222,300749.0781262533
18,1206.68425,161728.161621,96.99794,6083401.664062,15136091.75,0.0,0.0,0.0,6083498.662002,6083498.662002,290281.42427699995
19,1224.139797,162425.101074,0.0,6157818.273438,15343641.359375,0.0,0.0,0.0,6157818.273438,6157818.273438,288685.8767505
20,1246.817322,165917.11084,0.0,6213864.140625,15472250.96875,0.0,0.0,0.0,6213864.140625,6213864.140625,298917.7203716666
21,1213.534492,161134.824463,0.0,6133943.201172,15156094.5625,0.0,0.0,0.0,6133943.201172,6133943.201172,287705.7984476667
22,1199.515179,158177.245117,0.0,6031249.664062,14954532.40625,0.0,0.0,0.0,6031249.664062,6031249.664062,280892.5839706667
23,1198.942619,159160.838379,0.0,6041559.46875,15091486.8125,0.0,0.0,0.0,6041559.46875,6041559.46875,281760.0044729999
24,1143.950291,151569.513184,0.0,5944928.09375,14647985.875,0.0,0.0,0.0,5944928.09375,5944928.09375,262795.1641746666
25,1144.029163,151266.544922,0.0,5896697.03125,14562627.1875,0.0,0.0,0.0,5896697.03125,5896697.03125,263391.4542973333
26,687.977024,89426.88208,0.0,3468438.898438,8576039.625,0.0,0.0,0.0,3468438.898438,3468438.898438,156377.77512666662
148,1159.528746,191889.794434,1190.969238,5548705.585938,13738172.21875,0.0,0.0,0.0,5549896.555176,5549896.555176,428832.46854966664
149,1111.896995,171819.464844,756.917171,5328856.984375,13207543.902344,0.0,0.0,0.0,5329613.901546,5329613.901546,365853.82638112
150,1176.162842,167382.90741,1156.262414,5339487.880859,13318022.101562,0.0,0.0,0.0,5340644.143273,5340644.143273,347376.88513876003
151,1172.809239,207620.4328,3425.432007,5122496.419922,12677658.242188,0.0,0.0,0.0,5125921.851929,5125921.851929,507721.7554229067
152,1236.809258,224446.79248,7916.681885,5378599.492188,13346482.96875,0.0,0.0,0.0,5386516.174073,5386516.174073,556041.9130516667
