SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1708.121681,1983217.599609,0.0,0.0,0.0,-6568370.484253,17748.57373,2931831.755859,-6568370.484253,-9500202.240112,7271797.865232999
2,1708.374298,1963991.760742,0.0,0.0,0.0,-4621795.057129,17407.715088,2871993.7146,-4621795.057129,-7493788.771729,7201303.122720666
3,1786.108398,2108506.381836,67.275772,0.0,0.0,-3739684.627441,19130.882568,2614266.399902,-3739617.351669,-6353883.751571,7731190.066732
4,1790.02276,2138397.478027,102.044724,0.0,0.0,-2463588.866104,20777.985374,2629504.57666,-2463486.8213799996,-5092991.398039999,7840790.752765667
5,1777.359612,2191419.758911,328.916145,0.0,0.0,-2123082.81488,18854.137299,2669925.604492,-2122753.898735,-4792679.503226999,8035205.782673666
6,1863.636731,2351478.039062,0.0,0.0,0.0,-2769073.134766,19842.741638,2707827.450684,-2769073.134766,-5476900.585449999,8622086.143227333
7,1926.078722,2355422.447266,311.13871,0.0,0.0,-3591340.570312,20952.194202,3185056.602539,-3591029.431602,-6776086.034141,8636548.973308666
8,1998.049814,2408373.132812,1376.693069,0.0,0.0,-4288019.868652,21879.07666,3146963.369141,-4286643.175583,-7433606.544724001,8830701.486977333
9,2002.646982,2463173.039062,1894.437225,0.0,0.0,-6508046.255859,22039.982178,3398302.476562,-6506151.818634,-9904454.295196,9031634.476560665
10,1940.255253,2265707.664062,2080.997803,0.0,0.0,-5888329.933167,22832.506714,3196735.961914,-5886248.9353640005,-9082984.897278,8307594.768227332
11,1827.115568,2042154.201904,1267.072372,0.0,0.0,-5967973.975342,21053.421219,3116548.112793,-5966706.90297,-9083255.015763,7487898.740314666
12,1777.649877,2209221.550293,1394.495636,0.0,0.0,-3629143.032837,18627.277283,2795818.888184,-3627748.5372010004,-6423567.425385,8100479.017740999
13,1792.836994,2227920.23291,954.326843,0.0,0.0,-4230308.938477,18456.023407,2907307.325195,-4229354.611634,-7136661.936829001,8169040.854003333
14,1821.479052,2092023.131836,1066.804672,0.0,0.0,-4653235.936523,18671.910217,3550932.270508,-4652169.131851,-8203101.4023589995,7670751.483398666
15,1820.617761,2038937.357422,575.742554,0.0,0.0,-3679848.473633,18737.70253,3751765.807861,-3679272.731079,-7431038.538939999,7476103.643880666
16,1836.976921,2145459.901367,160.441849,0.0,0.0,-4211442.537842,20391.172974,3517346.213867,-4211282.095993,-7728628.30986,7866686.305012332
17,1838.452591,2219757.308228,129.803452,0.0,0.0,-2756616.901367,20552.050031,3291774.172607,-2756487.097915,-6048261.270522,8139110.130169333
18,1803.227289,2106312.77832,0.0,0.0,0.0,-6080623.210938,20032.784058,3331989.519043,-6080623.210938,-9412612.729981,7723146.85384
