SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
1,1245.882847,406456.533691,0.0,4880270.984375,12107631.125,0.0,16366.444824,0.0,4880270.984375,4880270.984375,1248188.0010336665
2,1263.751213,479476.740723,0.0,4789258.392334,11903199.130859,0.0,16115.488708,0.0,4789258.392334,4789258.392334,1520017.40003382
3,1288.510782,454870.02832,0.0,5197831.429688,12942588.9375,0.0,17274.74881,0.0,5197831.429688,5197831.429688,1409004.9917566665
4,1284.812152,413514.145264,0.0,5200669.851562,12880168.351562,0.0,18545.2206,0.0,5200669.851562,5200669.851562,1258615.1656034268
5,1309.615744,577905.028442,21.951088,4765343.953613,11812492.117188,0.0,17266.416962,0.0,4765365.904701,4765365.904701,1882735.2619435734
6,1408.975801,769112.818237,0.0,4473452.702148,11072182.619141,0.0,18174.364624,0.0,4473452.702148,4473452.702148,2598636.6811528467
7,1456.484125,762657.491699,243.446625,4616916.320312,11615492.0,0.0,19206.022137,0.0,4617159.766937,4617159.766937,2564100.9628963335
8,1529.872446,856271.968262,760.653275,4838540.96875,12114111.71875,0.0,20028.697784,0.0,4839301.622025,4839301.622025,2897381.649252333
9,1547.555971,967379.225098,2045.371826,4836558.703125,11984783.28125,0.0,20220.222748,0.0,4838604.074951,4838604.074951,3307361.493067667
10,1497.16132,824741.082031,893.958282,4953721.875,12257847.609375,0.0,20977.669678,0.0,4954615.833282,4954615.833282,2778893.6819261666
11,1452.243321,876982.660049,81.773964,4459518.17749,11053376.995117,0.0,19269.055992,0.0,4459599.951454,4459599.951454,2994535.5469439933
12,1383.5034,883741.64209,0.0,4326859.959717,10768028.937988,0.0,16880.681458,0.0,4326859.959717,4326859.959717,3025025.4422369064
13,1386.612557,859604.29248,0.0,4303763.578125,10749663.265625,0.0,16717.385162,0.0,4303763.578125,4303763.578125,2936889.1404474997
14,1433.195422,867492.812988,0.0,4455130.601562,11255207.125,0.0,16969.249207,0.0,4455130.601562,4455130.601562,2955702.8384559997
15,1436.867818,848042.955627,0.0,4599771.439453,11567523.015625,0.0,17091.734375,0.0,4599771.439453,4599771.439453,2878140.3769864994
16,1414.318642,762333.540039,0.0,4872255.402344,12114893.140625,0.0,18553.443741,0.0,4872255.402344,4872255.402344,2552925.1173305
17,1391.975614,757729.970161,0.0,4882990.093018,12124631.260254,0.0,18424.927349,0.0,4882990.093018,4882990.093018,2535850.598718587
18,1362.329782,696949.375,0.0,5006941.171875,12427395.3125,0.0,18228.93692,0.0,5006941.171875,5006941.171875,2306933.1354166665
19,1371.419037,702006.727539,0.0,5101035.490234,12692712.992188,0.0,18250.246605,0.0,5101035.490234,5101035.490234,2320170.4077992397
20,1384.165897,673982.078125,0.0,5196741.53125,12983828.96875,0.0,18468.658813,0.0,5196741.53125,5196741.53125,2211591.0404166663
21,1340.308707,625312.281006,0.0,5172525.982422,12800983.125,0.0,17546.020004,0.0,5172525.982422,5172525.982422,2036792.0345219998
22,1326.186554,622354.70166,0.0,5085087.757812,12634003.21875,0.0,17376.924377,0.0,5085087.757812,5085087.757812,2029287.175045
23,1329.535645,633586.555664,0.0,5103462.25,12765624.75,0.0,17451.288025,0.0,5103462.25,5103462.25,2067838.2091013333
24,1270.60825,615746.969727,0.0,5015167.359375,12362038.8125,0.0,16756.107849,0.0,5015167.359375,5015167.359375,2010498.1127489996
25,1270.640388,602508.79834,0.0,4966837.796875,12276680.125,0.0,16627.001038,0.0,4966837.796875,4966837.796875,1963665.3247466665
26,757.64724,307783.1604,0.0,2962557.367188,7332616.265625,0.0,9944.438019,0.0,2962557.367188,2962557.367188,981885.9294875
