ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,1.817867298454914093e+09,9.764165690429999959e+05,1.431560008861142635e+09,4.374598852669789791e+08,-6.384184546596410275e+08,2.920897506029999349e+05,3.498401650985047340e+09,8.622978522555667877e+09,2.860275286076008797e+09,1.042407987621095061e+09,1.387061011829600111e+07
2.000000000000000000e+00,1.565225809583240032e+09,9.771261374680000590e+05,1.439928456886015892e+09,4.391305556751829386e+08,-7.600092567631570101e+08,2.917703769759999705e+05,3.452538725352234840e+09,8.510845696149416924e+09,2.692821238966053963e+09,1.127595429382813931e+09,1.393799790418600105e+07
3.000000000000000000e+00,2.918382871358322144e+09,9.744245901809999486e+05,1.409069570126183987e+09,4.341814218123239875e+08,-1.246177040995810032e+08,2.855940163150000153e+05,3.712996343082702637e+09,9.146448825950199127e+09,3.588664232999436855e+09,6.702813616411149502e+08,1.356434131134700030e+07
4.000000000000000000e+00,1.729869124538230300e+08,9.825602152749999659e+05,1.507893730278976679e+09,4.549114460975530148e+08,-1.552699473884005785e+09,3.016158647469999851e+05,3.248091621519714832e+09,8.005745270602541924e+09,1.695693763500456095e+09,1.522706851046633005e+09,1.416867042606800050e+07
5.000000000000000000e+00,1.189681923741137028e+09,9.783025804050000152e+05,1.454208827932029724e+09,4.422825263155660033e+08,-9.802518868390840292e+08,2.922381010359999491e+05,3.397428741527526855e+09,8.374688427918948174e+09,2.417469092789478779e+09,1.227787169048341990e+09,1.399304339771499857e+07
6.000000000000000000e+00,-7.803239738601409197e+08,9.882963068220000714e+05,1.582468249057272196e+09,4.731173067079119682e+08,-2.075659512432831764e+09,3.041131364750000066e+05,3.089858151165222168e+09,7.614760443586915970e+09,1.014502751868865013e+09,1.794826725729005814e+09,1.435202713407300040e+07
7.000000000000000000e+00,-2.446521963779629469e+08,9.849083915069999639e+05,1.537670468086777210e+09,4.620226142839559913e+08,-1.765130405374238968e+09,3.016158647469999851e+05,3.172778455341003895e+09,7.820622547719728470e+09,1.407949665831511736e+09,1.652601862209475040e+09,1.425698318505300023e+07
8.000000000000000000e+00,1.796613209892414093e+09,9.764705102059999481e+05,1.432195642835415363e+09,4.375698432904169559e+08,-6.408339669096410275e+08,2.920897506029999349e+05,3.493584547672547340e+09,8.611355794805667877e+09,2.853042670513508797e+09,1.056429460621095061e+09,1.388092660999600030e+07
9.000000000000000000e+00,-1.099335350907016993e+09,9.907359037890000036e+05,1.614623842093353987e+09,4.808906714570280313e+08,-2.197675668393770218e+09,3.065348103029999766e+05,3.014960160821471691e+09,7.432097662454102516e+09,8.175910272380049229e+08,1.916926378145021915e+09,1.441968529482500069e+07
1.000000000000000000e+01,-1.030134059426599741e+08,9.840834519849999342e+05,1.527119768317887783e+09,4.595498783436479568e+08,-1.712193930243379831e+09,3.016158647469999851e+05,3.203213197357605934e+09,7.894822613774416924e+09,1.491320882978973150e+09,1.594334288921633005e+09,1.422632710075000115e+07
1.100000000000000000e+01,-1.604230035443332911e+09,9.950956899570000824e+05,1.673456942824383259e+09,4.957761010829480290e+08,-2.475055616132539272e+09,3.139808762819999829e+05,2.929080067059509277e+09,7.219438057321290970e+09,4.543384318032517433e+08,2.058568467246584892e+09,1.448967223760399967e+07
1.200000000000000000e+01,2.996077325324141026e+09,9.743555366959999083e+05,1.408302942745336294e+09,4.341624486537690163e+08,-7.625825075192499161e+07,2.855940163150000153e+05,3.727193755556334496e+09,9.181301782590824127e+09,3.651221098820724964e+09,6.551437734965839386e+08,1.354774641409900039e+07
1.300000000000000000e+01,-1.223315611000766993e+09,9.917278904580000089e+05,1.628276550284893513e+09,4.842490839433569908e+08,-2.248593168862520218e+09,3.065348103029999766e+05,2.987663859446471691e+09,7.365171208704102516e+09,7.393772253942549229e+08,1.962692836395021915e+09,1.444552323305900022e+07
1.400000000000000000e+01,4.714238102590450644e+08,9.811630883569999132e+05,1.489520310958217382e+09,4.506042904432550073e+08,-1.405335378821505785e+09,3.000517029279999551e+05,3.300639569566589832e+09,8.134771033352541924e+09,1.895604242448012114e+09,1.424180432188966990e+09,1.410497466971900128e+07
1.500000000000000000e+01,-1.890761140374912977e+09,9.981486136709999992e+05,1.712113354947277546e+09,5.054762091610739827e+08,-2.612723886142305374e+09,3.291314275520000374e+05,2.866434965725097179e+09,7.064970598833009720e+09,2.540402110103437901e+08,2.144801351385257006e+09,1.453160763765500113e+07
1.600000000000000000e+01,-9.987166533855329752e+08,9.899483508990000701e+05,1.603866782874762774e+09,4.783353351015599966e+08,-2.169837353768770218e+09,3.041131364750000066e+05,3.043537961016783714e+09,7.501472291547852516e+09,8.740047203844890594e+08,1.872721373770021915e+09,1.439564754726600088e+07
1.700000000000000000e+01,1.786546129392414093e+09,9.764918779420000501e+05,1.432512119908120155e+09,4.375589780247910023e+08,-6.357834859096410275e+08,2.920897506029999349e+05,3.486209295172547340e+09,8.593539975805667877e+09,2.850717899013508797e+09,1.064171769621095061e+09,1.388919726624700055e+07
1.800000000000000000e+01,-1.912307940421787977e+09,9.984404541120000649e+05,1.715166990409532309e+09,5.061991079882229567e+08,-2.615136915189180374e+09,3.291314275520000374e+05,2.858163998381347179e+09,7.044820277364259720e+09,2.433562146197187901e+08,2.155664155041506767e+09,1.454156507008900121e+07
1.900000000000000000e+01,-5.992809006179538965e+08,9.871156966369999573e+05,1.566267225817727566e+09,4.691129780886470079e+08,-1.981806252268769741e+09,3.041131364750000066e+05,3.120599100786315918e+09,7.690684692032228470e+09,1.139096961654021025e+09,1.738377862271975040e+09,1.431956691451400146e+07
2.000000000000000000e+01,-2.334954774017735004e+09,1.003225788230999955e+06,1.781616236157228947e+09,5.229962801156630516e+08,-2.793859575755586147e+09,3.458583198860000120e+05,2.759190785475097179e+09,6.801839546676759720e+09,-3.432293196060323715e+07,2.300631842057131767e+09,1.463019316432499886e+07
2.100000000000000000e+01,-1.765167252926182985e+09,9.967493173759999918e+05,1.694727468322175264e+09,5.010866053251370192e+08,-2.546738067392305374e+09,3.139808762819999829e+05,2.892532556100097179e+09,7.129504226833009720e+09,3.461084695840737820e+08,2.111275722510257006e+09,1.451548327168799937e+07
2.200000000000000000e+01,3.976123060090450644e+08,9.814702088399999775e+05,1.493774768931342363e+09,4.515987037713799477e+08,-1.445024269321505785e+09,3.000517029279999551e+05,3.288331231316589832e+09,8.104357244852541924e+09,1.843607013698012114e+09,1.445994707688966990e+09,1.411763397636100091e+07
2.300000000000000000e+01,-2.394835241517735004e+09,1.003976141962000052e+06,1.791905786813744068e+09,5.256021241117579937e+08,-2.818163308255586147e+09,3.458583198860000120e+05,2.744190168100097179e+09,6.765100079801759720e+09,-7.362728183560323715e+07,2.321207959682131767e+09,1.463813801259000041e+07
2.400000000000000000e+01,-1.366893478840610027e+09,9.930503113270001486e+05,1.644699521645503998e+09,4.883880175312489867e+08,-2.325818536111055374e+09,3.077154191899999860e+05,2.962481637011901855e+09,7.302827131787111282e+09,6.369708163200368881e+08,2.003864295160646915e+09,1.446448020845899917e+07
2.500000000000000000e+01,2.326184934929901123e+09,9.752714799190000631e+05,1.418318249637802601e+09,4.348312781914160252e+08,-3.368009386264370084e+08,2.918469521519999835e+05,3.571542170428405762e+09,8.803155186536136627e+09,3.235033078754120827e+09,9.088481438242200613e+08,1.377881713343000039e+07
2.600000000000000000e+01,-2.320660339720860004e+09,1.003069398507999955e+06,1.779207135878985882e+09,5.224663467064830065e+08,-2.805169163958711147e+09,3.458583198860000120e+05,2.768975089537597179e+09,6.825140102239259720e+09,-3.584821610122823715e+07,2.284812123619631767e+09,1.461990983424699865e+07
2.700000000000000000e+01,-6.976854621179538965e+08,9.877886540119999554e+05,1.574918983220207453e+09,4.712840421771500111e+08,-2.042348386768769741e+09,3.041131364750000066e+05,3.106696862524597168e+09,7.656125238133790970e+09,1.064652588892302036e+09,1.762338051010255814e+09,1.433636709694899991e+07
2.800000000000000000e+01,-2.932839582967798710e+09,1.011256412557000061e+06,1.892214590560202837e+09,5.513915252963321209e+08,-3.085609003570039272e+09,4.087299694310000632e+05,2.627929046271971703e+09,6.477716776317384720e+09,-4.572712273286364079e+08,2.475568355639163017e+09,1.473223670670999959e+07
2.900000000000000000e+01,-1.992740004921787977e+09,9.994155953460000455e+05,1.727040715678232670e+09,5.091623934765049815e+08,-2.649343783939180374e+09,3.291314275520000374e+05,2.837702305631347179e+09,6.994403020114259720e+09,1.886876531197187901e+08,2.181427658041506767e+09,1.455730396681499854e+07
3.000000000000000000e+01,7.243083020669360161e+08,9.800070060769999400e+05,1.475961906608296871e+09,4.473454132312170267e+08,-1.244268059899630785e+09,2.992145283979999949e+05,3.332881474295104980e+09,8.215230428641603470e+09,2.088912628923871994e+09,1.364604326856935978e+09,1.407648014075399935e+07
3.100000000000000000e+01,-2.870469888225612164e+09,1.010374954572999966e+06,1.879752573823009968e+09,5.482505758041429520e+08,-3.069795026593476772e+09,4.087299694310000632e+05,2.647354598834471703e+09,6.524976872942384720e+09,-4.220316977895743847e+08,2.448438190436038017e+09,1.471677795249800012e+07
3.200000000000000000e+01,-1.506382522814425945e+09,9.942240764030000428e+05,1.661327401566216946e+09,4.927046847431640029e+08,-2.425355428226289272e+09,3.139808762819999829e+05,2.946707598321228027e+09,7.262822124602540970e+09,5.216661509712208509e+08,2.028048673785646915e+09,1.447852443004699983e+07
3.300000000000000000e+01,-3.298783352252589226e+09,1.017079737030999968e+06,1.968937365854606867e+09,5.711629260916240215e+08,-3.272996290577851295e+09,4.338926416720000561e+05,2.542742730350097179e+09,6.266334824067384720e+09,-7.298196675860824585e+08,2.568963684666506767e+09,1.478292441530999914e+07
