ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,4.451612099745076180e+09,9.828905903870000038e+05,1.543941520448754311e+09,4.623890668659439683e+08,1.526109616165284157e+09,5.419860337129998952e+05,3.044555341924986839e+09,7.574252902985357285e+09,4.571206944123983383e+09,1.195948443789080083e+08,1.397100737661499903e+07
2.000000000000000000e+00,4.446539133361036301e+09,9.809916625479999930e+05,1.511893169277577877e+09,4.544585215644299984e+08,1.452588547165283918e+09,4.933441306319999858e+05,3.107351270926939964e+09,7.722737156266605377e+09,4.560433162222855568e+09,1.138940288618189991e+08,1.393987409100699984e+07
3.000000000000000000e+00,4.451274086515455246e+09,9.821573274459999520e+05,1.531111209262340546e+09,4.591666805610129833e+08,1.502174633016846895e+09,5.210212694239999983e+05,3.066022435862486839e+09,7.624997639735357285e+09,4.568718090148757935e+09,1.174440036333030015e+08,1.396112110989800096e+07
4.000000000000000000e+00,4.225444975486088276e+09,1.040974964384999941e+06,2.211762029264873028e+09,6.405235778360610008e+08,1.588162590922364950e+09,5.052002746650000336e+05,2.763120067482907295e+09,6.841221140034185410e+09,4.351787858679937363e+09,1.263428831938490123e+08,1.397208743561499938e+07
5.000000000000000000e+00,4.430863286967952728e+09,9.796154565530000255e+05,1.489261280848618269e+09,4.489128651083749533e+08,1.382967439668015003e+09,4.760946046300000162e+05,3.155887804424986839e+09,7.837627894104496002e+09,4.539331338697631836e+09,1.084680517296790034e+08,1.390327571550299972e+07
6.000000000000000000e+00,4.443779857511015892e+09,9.818769231989999535e+05,1.516181770158244610e+09,4.554936101269289851e+08,1.459267730790283918e+09,5.016016180119999917e+05,3.096943102050476074e+09,7.698073348691411972e+09,4.556712434458771706e+09,1.129325769477559924e+08,1.393707300891299918e+07
7.000000000000000000e+00,3.331219178590859413e+09,1.151062345720000099e+06,3.173329851850941658e+09,8.926741330656991005e+08,1.437048169812134981e+09,4.784696268649999984e+05,2.029026046173339844e+09,4.990431802831056595e+09,3.466552685612339973e+09,1.353335070214800239e+08,1.369021368253199942e+07
8.000000000000000000e+00,4.451626725805185318e+09,9.827274751750000287e+05,1.541266409787757397e+09,4.616983932238539457e+08,1.522792182665284157e+09,5.490534063219999662e+05,3.047564465674986839e+09,7.581384934985357285e+09,4.570905701746593475e+09,1.192789759414080083e+08,1.397026447031899914e+07
9.000000000000000000e+00,4.451274410925611496e+09,9.821566048810000066e+05,1.531110264150359392e+09,4.591664228032000065e+08,1.502174957427003145e+09,5.210212694239999983e+05,3.066022435862486839e+09,7.624997639735357285e+09,4.568718414558914185e+09,1.174440036333030015e+08,1.396112110989800096e+07
1.000000000000000000e+01,4.402200452567443848e+09,9.942381812070000451e+05,1.631286175154480219e+09,4.858558992383970022e+08,1.496435511022951126e+09,4.944418147610000451e+05,3.023507606045651913e+09,7.509272769315435410e+09,4.520437558883363724e+09,1.182371063159200102e+08,1.393759228746999986e+07
