ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,3.829246980246733665e+09,9.754770161289998796e+05,1.428089248670674801e+09,4.407847217440379858e+08,8.904777010007001460e+06,3.096504875209999736e+05,3.820032552749206066e+09,9.406069886206546783e+09,3.829246980246733665e+09,0.000000000000000000e+00,1.303468270069000125e+07
2.000000000000000000e+00,3.829300024234587669e+09,9.755013863449998898e+05,1.428472172491928577e+09,4.408899083534139991e+08,8.904777010007001460e+06,3.051753113129999838e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829300024234587669e+09,0.000000000000000000e+00,1.303473233179300092e+07
3.000000000000000000e+00,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
4.000000000000000000e+00,3.829023020429534912e+09,9.753772040869999910e+05,1.426645920056195736e+09,4.403890974784129858e+08,8.804787183834999800e+06,3.243551644619999570e+05,3.819893878081237793e+09,9.405705201565921783e+09,3.829023020429534912e+09,0.000000000000000000e+00,1.303417855884299986e+07
5.000000000000000000e+00,3.825587268594165325e+09,9.751433087889999151e+05,1.424225926742712975e+09,4.397060882489829659e+08,7.062080635983999819e+06,4.051455351459999220e+05,3.818120042423035145e+09,9.401486508511234283e+09,3.825587268594165325e+09,0.000000000000000000e+00,1.303248067683099955e+07
6.000000000000000000e+00,3.267905616956209183e+09,1.096173474719000049e+06,2.983896636554742813e+09,8.571349686621989012e+08,9.032706338376000524e+06,2.936117203769999905e+05,3.258579372897456169e+09,7.946579093666013718e+09,3.267905690956209183e+09,7.400000000000000000e+01,1.295673175864499807e+07
7.000000000000000000e+00,3.828704882101044655e+09,9.753221702739999164e+05,1.425951531003020525e+09,4.401953079706009626e+08,8.804787183834999800e+06,3.346465879249999416e+05,3.819565448329285145e+09,9.404896577792484283e+09,3.828704882101044655e+09,0.000000000000000000e+00,1.303380207843500003e+07
8.000000000000000000e+00,3.829300794989897728e+09,9.754945976339998888e+05,1.428408541989322662e+09,4.408725545799759626e+08,8.904777010007001460e+06,3.059460666230000206e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829300794989897728e+09,0.000000000000000000e+00,1.303473252271099947e+07
9.000000000000000000e+00,3.829028769135549068e+09,9.757607439829999348e+05,1.432155083801572800e+09,4.418877413661090136e+08,8.908313848141999915e+06,2.940290305749999825e+05,3.819826463256832123e+09,9.404998393708011627e+09,3.829028806135549068e+09,3.700000000000000000e+01,1.303467378770099953e+07
1.000000000000000000e+01,3.829300794989897728e+09,9.754961794209999498e+05,1.428418949822655916e+09,4.408753930799759626e+08,8.904777010007001460e+06,3.059460666230000206e+05,3.820090071913267612e+09,9.406207906862796783e+09,3.829300794989897728e+09,0.000000000000000000e+00,1.303473233179300092e+07
