SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,269.017334,376664.375,0.0,0.0,0.0,0.0,2900.981934,0.0,0.0,0.0,1381102.7083333333
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,0.0,7147.24707,0.0,2475.114746,2475.114746,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2366.053589,0.0,0.0,0.0,450114.0416666666
38,324.967468,394880.3125,0.0,0.0,0.0,0.0,2763.025146,0.0,0.0,0.0,1447894.4791666665
39,638.227844,787337.4375,0.0,0.0,0.0,0.0,5623.910645,0.0,0.0,0.0,2886903.9375
40,713.484619,806018.8125,0.0,50581.984375,125769.851562,0.0,7359.587891,0.0,50581.984375,50581.984375,2952886.91546876
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,7849.13916,0.0,0.0,0.0,1549546.0520833333
66,288.947388,351131.40625,0.0,0.0,0.0,0.0,3877.34668,0.0,0.0,0.0,1287481.8229166665
67,792.85083,963495.5,0.0,0.0,0.0,0.0,6637.887695,0.0,0.0,0.0,3532816.833333333
68,811.539551,1018171.875,0.0,0.0,0.0,0.0,7634.932617,0.0,0.0,0.0,3733296.875
69,741.700195,482811.0625,0.0,0.0,0.0,0.0,7470.274414,0.0,0.0,0.0,1770307.2291666665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,3389.287598,0.0,0.0,0.0,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,16.782711,0.0,0.0,0.0,8909.590902666667
93,338.6875,411869.25,0.0,0.0,0.0,0.0,2833.691162,0.0,0.0,0.0,1510187.25
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7103.274414,0.0,0.0,0.0,3733197.875
95,836.375732,1018144.875,0.0,0.0,0.0,0.0,7178.228516,0.0,0.0,0.0,3733197.875
96,780.180481,994253.8125,0.0,0.0,0.0,0.0,7492.758789,0.0,0.0,0.0,3645597.3125
97,720.234741,421575.625,0.0,0.0,0.0,0.0,7129.820312,0.0,0.0,0.0,1545777.2916666665
121,752.038467,914845.34375,0.0,0.0,0.0,0.0,6222.615967,0.0,0.0,0.0,3354432.927083333
122,855.303284,1042416.625,0.0,0.0,0.0,0.0,7414.491211,0.0,0.0,0.0,3822194.2916666665
123,857.887085,1042416.625,0.0,0.0,0.0,0.0,7309.632324,0.0,0.0,0.0,3822194.2916666665
124,854.928955,1042416.625,0.0,0.0,0.0,0.0,8116.989258,0.0,0.0,0.0,3822194.2916666665
125,736.336304,585827.6875,0.0,0.0,0.0,0.0,7107.13916,0.0,0.0,0.0,2148034.8541666665
126,272.830841,160980.144531,0.0,2434.445068,13308.585938,0.0,2631.301758,0.0,2434.445068,2434.445068,589994.3582282399
148,492.948975,598944.625,0.0,0.0,0.0,0.0,4911.423828,0.0,0.0,0.0,2196130.2916666665
149,836.659912,1018090.375,0.0,0.0,0.0,0.0,7141.147461,0.0,0.0,0.0,3732998.0416666665
150,837.743896,1018090.375,0.0,0.0,0.0,0.0,7302.867188,0.0,0.0,0.0,3732998.0416666665
151,837.904419,1018090.375,0.0,0.0,0.0,0.0,7591.125977,0.0,0.0,0.0,3732998.0416666665
152,823.911865,1013819.3125,0.0,0.0,0.0,0.0,7253.494141,0.0,0.0,0.0,3717337.4791666665
153,593.989868,349324.0625,0.0,1718.776855,4308.208008,0.0,5499.820801,0.0,1718.776855,1718.776855,1280768.7316731731
176,91.982498,111766.734375,0.0,0.0,0.0,0.0,1453.684937,0.0,0.0,0.0,409811.359375
177,837.263855,1018061.734375,0.0,0.0,0.0,0.0,7231.223633,0.0,0.0,0.0,3732893.0260416665
178,837.870178,1018061.75,0.0,0.0,0.0,0.0,7374.378906,0.0,0.0,0.0,3732893.083333333
179,836.843628,1018061.75,0.0,0.0,0.0,0.0,7463.284668,0.0,0.0,0.0,3732893.083333333
180,814.629333,969865.4375,0.0,0.0,0.0,0.0,7718.267578,0.0,0.0,0.0,3556173.270833333
181,731.225586,759782.1875,0.0,3219.904785,17743.466797,0.0,6675.125977,0.0,3219.904785,3219.904785,2785513.151497393
204,839.787598,1020463.25,0.0,0.0,0.0,0.0,8362.546875,0.0,0.0,0.0,3741698.583333333
205,839.917542,1020463.25,0.0,0.0,0.0,0.0,7489.555664,0.0,0.0,0.0,3741698.583333333
206,839.435791,1020463.25,0.0,0.0,0.0,0.0,7423.752441,0.0,0.0,0.0,3741698.583333333
207,839.839111,1020463.25,0.0,0.0,0.0,0.0,8178.97168,0.0,0.0,0.0,3741698.583333333
208,837.311829,1019039.625,0.0,0.0,0.0,0.0,7195.051758,0.0,0.0,0.0,3736478.625
209,42.017487,27434.078125,0.0,4024.901123,22179.443359,0.0,395.33902,0.0,4024.901123,4024.901123,100148.03092448665
232,411.667297,500496.78125,0.0,0.0,0.0,0.0,3625.711182,0.0,0.0,0.0,1835154.8645833333
233,836.925873,1018003.71875,0.0,0.0,0.0,0.0,7772.979736,0.0,0.0,0.0,3732680.302083333
234,837.881714,1018003.6875,0.0,0.0,0.0,0.0,7395.682129,0.0,0.0,0.0,3732680.1875
235,835.760132,1018003.6875,0.0,0.0,0.0,0.0,8130.260254,0.0,0.0,0.0,3732680.1875
236,837.452271,1018003.6875,0.0,0.0,0.0,0.0,7487.642578,0.0,0.0,0.0,3732680.1875
237,442.97049,541805.75,0.0,0.0,0.0,0.0,4031.773438,0.0,0.0,0.0,1986621.0833333333
259,48.5075,66307.640625,0.0,0.0,0.0,0.0,929.772461,0.0,0.0,0.0,243128.015625
260,834.882263,1017974.5,0.0,0.0,0.0,0.0,8406.24707,0.0,0.0,0.0,3732573.1666666665
261,837.314575,1017974.5,0.0,0.0,0.0,0.0,7580.644531,0.0,0.0,0.0,3732573.1666666665
262,837.749695,1017974.5,0.0,0.0,0.0,0.0,8130.036133,0.0,0.0,0.0,3732573.1666666665
263,837.459167,1017974.5,0.0,0.0,0.0,0.0,7742.241211,0.0,0.0,0.0,3732573.1666666665
264,543.259399,660835.125,0.0,0.0,0.0,0.0,5002.902832,0.0,0.0,0.0,2423062.125
288,751.670044,998772.4375,0.0,0.0,0.0,0.0,9635.591797,0.0,0.0,0.0,3662165.6041666665
289,836.718414,1017943.5,0.0,0.0,0.0,0.0,8139.91748,0.0,0.0,0.0,3732459.5
290,837.605469,1017943.5,0.0,0.0,0.0,0.0,8178.793945,0.0,0.0,0.0,3732459.5
291,837.609009,1017943.5,0.0,0.0,0.0,0.0,7773.503906,0.0,0.0,0.0,3732459.5
292,837.263062,1017943.5,0.0,0.0,0.0,0.0,7521.112793,0.0,0.0,0.0,3732459.5
