SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,130.632095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,318.29187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,102.796959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,137.556107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,274.440582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,355.954193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,356.189026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,122.309547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,338.646576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,358.311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,358.165283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,160.896877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.846084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,144.252487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,359.531555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,361.103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,359.49118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,359.281433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,320.164368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,367.84671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,372.36377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
