SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,268.043579,372612.3125,0.0,0.0,0.0,-160961.875,2997.074951,97791.664062,-160961.875,-258753.539062,1366245.1458333333
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,-70760.796875,8129.933594,1423370.0,-68285.682129,-1491655.682129,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2731.01593,652252.578125,0.0,-652252.578125,450114.0416666666
38,324.587097,393867.3125,0.0,0.0,0.0,-36061.40625,2793.487793,6980.850586,-36061.40625,-43042.256836,1444180.1458333333
39,637.478149,785311.4375,0.0,0.0,0.0,-73279.835938,5788.598145,6980.884277,-73279.835938,-80260.72021500001,2879475.270833333
40,699.477051,741558.625,0.0,17380.908203,43368.914062,-1614328.375,8076.275391,841457.5,-1596947.466797,-2438404.966797,2718180.9133854266
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,9112.521484,2067851.875,0.0,-2067851.875,1549546.0520833333
66,288.569122,350118.4375,0.0,0.0,0.0,-59295.96875,3907.726562,3490.318604,-59295.96875,-62786.287354,1283767.6041666665
67,790.993774,958430.625,0.0,0.0,0.0,-157874.59375,6793.459961,17451.800781,-157874.59375,-175326.394531,3514245.625
68,728.931274,782148.625,0.0,0.0,0.0,-5271390.0,8062.506836,813251.75,-5271390.0,-6084641.75,2867878.2916666665
69,741.585449,482208.90625,0.0,0.0,0.0,-26461.496094,8600.694336,934775.625,-26461.496094,-961237.121094,1768099.3229166665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,3962.719604,914539.0,0.0,-914539.0,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,17.20565,0.0,0.0,0.0,8909.590902666667
93,338.6875,411869.25,0.0,0.0,0.0,0.0,2912.552246,0.0,0.0,0.0,1510187.25
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7276.90918,0.0,0.0,0.0,3733197.875
95,720.579346,696026.75,0.0,0.0,0.0,-8689428.0,7551.855469,1109903.875,-8689428.0,-9799331.875,2552098.083333333
96,717.075745,788032.0625,0.0,0.0,0.0,-3428830.5,8198.962891,915088.25,-3428830.5,-4343918.75,2889450.895833333
97,720.234741,421575.625,0.0,0.0,0.0,0.0,8200.806641,1185243.0,0.0,-1185243.0,1545777.2916666665
121,717.074738,820644.09375,0.0,0.0,0.0,-3959745.5625,6424.827637,324583.796387,-3959745.5625,-4284329.358887,3009028.34375
122,834.801208,985693.375,0.0,0.0,0.0,-2090845.625,7629.388672,195448.15625,-2090845.625,-2286293.78125,3614209.0416666665
123,752.085938,746641.375,0.0,0.0,0.0,-9084042.0,7664.717773,1019135.9375,-9084042.0,-10103177.9375,2737685.0416666665
124,733.778687,702069.75,0.0,0.0,0.0,-8197221.0,8632.939453,1619449.875,-8197221.0,-9816670.875,2574255.75
125,736.643677,587042.625,0.0,0.0,0.0,-32194.474609,7946.362793,1135201.5,-32194.474609,-1167395.974609,2152489.625
126,272.918411,160679.09375,0.0,1622.963379,8872.390625,-17314.234375,2994.426636,342239.5625,-15691.270996,-357930.833496,588979.2292708333
148,427.322876,421688.25,0.0,0.0,0.0,-8060026.0,5198.969238,610762.25,-8060026.0,-8670788.25,1546190.25
149,806.066772,934020.625,0.0,0.0,0.0,-3591907.5,7517.016113,289674.375,-3591907.5,-3881581.875,3424742.2916666665
150,743.348938,753724.0,0.0,0.0,0.0,-9356118.0,7608.387695,910911.875,-9356118.0,-10267029.875,2763654.6666666665
151,658.568848,513663.875,0.0,0.0,0.0,-14163654.0,8029.201172,1926538.5,-14163654.0,-16090192.5,1883434.2083333333
152,823.294067,1011793.4375,0.0,0.0,0.0,-37822.144531,7798.762207,956286.6875,-37822.144531,-994108.8320309999,3709909.270833333
153,593.932129,349023.03125,0.0,1718.776855,4308.208008,-405977.28125,6139.597656,1074881.0,-404258.504395,-1479139.504395,1279664.9504231731
176,90.483208,107715.242188,0.0,0.0,0.0,-265726.09375,1551.806152,13959.976562,-265726.09375,-279686.070312,394955.8880226667
177,645.793152,494404.515625,0.0,0.0,0.0,-22798922.25,7746.029785,1804335.3125,-22798922.25,-24603257.5625,1812816.5572916665
178,723.826782,701032.1875,0.0,0.0,0.0,-12387411.0,7767.34668,1092370.25,-12387411.0,-13479781.25,2570451.3541666665
179,696.312622,618988.75,0.0,0.0,0.0,-12729549.0,7832.507324,1375062.75,-12729549.0,-14104611.75,2269625.4166666665
180,781.510742,875778.9375,0.0,0.0,0.0,-1829340.5,8109.112305,1063163.75,-1829340.5,-2892504.25,3211189.4375
181,731.467163,757866.25,0.0,2414.926025,13307.585938,-159185.40625,7209.243164,681237.9375,-156770.480225,-838008.4177250001,2778576.7649479066
204,685.742065,601145.25,0.0,0.0,0.0,-19487474.0,9007.019531,1444820.0,-19487474.0,-20932294.0,2204199.25
205,639.353149,465424.625,0.0,0.0,0.0,-24014400.0,8034.434082,1912464.5,-24014400.0,-25926864.5,1706556.9583333333
206,761.031982,800673.625,0.0,0.0,0.0,-8014830.0,7744.931641,757316.3125,-8014830.0,-8772146.3125,2935803.2916666665
207,807.566772,929306.125,0.0,0.0,0.0,-2736840.75,8494.300781,314094.84375,-2736840.75,-3050935.59375,3407455.7916666665
208,830.139221,998782.875,0.0,0.0,0.0,-549182.375,7526.210938,425772.71875,-549182.375,-974955.09375,3662203.875
209,40.626453,24259.087891,0.0,3219.922363,17743.5625,-92664.492188,430.738007,65748.71875,-89444.569825,-155193.288575,88595.11768366667
