SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,268.043579,372612.3125,0.0,0.0,0.0,-159844.28125,2982.579102,18159.222656,-159844.28125,-178003.503906,1366245.1458333333
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,-70760.796875,8081.55957,258096.390625,-68285.682129,-326382.07275399996,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2717.066833,120458.660156,0.0,-120458.660156,450114.0416666666
38,324.587097,393867.3125,0.0,0.0,0.0,-31127.28125,2785.718262,1292.975342,-31127.28125,-32420.256592,1444180.1458333333
39,637.478149,785311.4375,0.0,0.0,0.0,-69298.851562,5748.481934,1292.981567,-69298.851562,-70591.83312899999,2879475.270833333
40,699.477051,741558.625,0.0,17380.908203,43368.914062,-1591760.25,8018.760742,153741.96875,-1574379.341797,-1728121.310547,2718180.9133854266
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,9076.978516,381564.25,0.0,-381564.25,1549546.0520833333
66,288.569122,350118.4375,0.0,0.0,0.0,-57653.886719,3899.944336,646.467896,-57653.886719,-58300.354615000004,1283767.6041666665
67,790.993774,958430.625,0.0,0.0,0.0,-136876.65625,6754.166504,3232.37793,-136876.65625,-140109.03418,3514245.625
68,728.931274,782148.625,0.0,0.0,0.0,-4628238.0,7981.553711,150628.421875,-4628238.0,-4778866.421875,2867878.2916666665
69,741.585449,482208.90625,0.0,0.0,0.0,-26461.496094,8560.652344,172684.734375,-26461.496094,-199146.230469,1768099.3229166665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,3955.413086,169435.070312,0.0,-169435.070312,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,17.098557,0.0,0.0,0.0,8909.590902666667
93,338.6875,411869.25,0.0,0.0,0.0,0.0,2892.364258,0.0,0.0,0.0,1510187.25
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7232.601074,0.0,0.0,0.0,3733197.875
95,720.579346,696026.75,0.0,0.0,0.0,-7606959.5,7458.76416,205573.5625,-7606959.5,-7812533.0625,2552098.083333333
96,717.075745,788032.0625,0.0,0.0,0.0,-3257239.75,8127.151855,172888.515625,-3257239.75,-3430128.265625,2889450.895833333
97,720.234741,421575.625,0.0,0.0,0.0,0.0,8183.237305,218602.234375,0.0,-218602.234375,1545777.2916666665
121,717.074738,820644.09375,0.0,0.0,0.0,-3415250.484375,6373.617065,60118.58313,-3415250.484375,-3475369.067505,3009028.34375
