SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,267.725739,371994.0625,0.0,0.0,0.0,-177604.75,3036.01416,17112.996094,-177604.75,-194717.746094,1363978.2291666665
13,651.112793,455273.0625,0.0,2475.114746,13273.750977,-70760.796875,8484.583008,268633.25,-68285.682129,-336918.93212899996,1669069.08748046
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2867.745972,114080.507812,0.0,-114080.507812,450114.0416666666
38,324.507446,393712.75,0.0,0.0,0.0,-34585.867188,2819.39209,1218.246826,-34585.867188,-35804.114014,1443613.4166666665
39,637.318115,785002.3125,0.0,0.0,0.0,-76998.726562,5914.942383,1218.252686,-76998.726562,-78216.979248,2878341.8125
40,681.686768,695234.0,0.0,17380.908203,43368.914062,-2233725.5,8420.78125,163246.1875,-2216344.591797,-2379590.779297,2548323.955052093
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,9627.094727,424564.21875,0.0,-424564.21875,1549546.0520833333
66,288.489197,349963.875,0.0,0.0,0.0,-64059.871094,3928.671387,609.104797,-64059.871094,-64668.975891,1283200.875
67,790.589722,957657.875,0.0,0.0,0.0,-152085.171875,6949.563965,3045.560059,-152085.171875,-155130.731934,3511412.208333333
68,681.799438,669079.75,0.0,0.0,0.0,-6593220.0,8356.21875,182124.21875,-6593220.0,-6775344.21875,2453292.4166666665
69,741.424438,481899.8125,0.0,0.0,0.0,-29401.664062,9115.126953,193089.625,-29401.664062,-222491.289062,1766965.9791666665
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,4218.066528,159645.734375,0.0,-159645.734375,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,17.517263,0.0,0.0,0.0,8909.590902666667
93,338.230469,410701.75,0.0,0.0,0.0,-40032.839844,2970.186279,609.094543,-40032.839844,-40641.934387,1505906.4166666665
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7435.223633,0.0,0.0,0.0,3733197.875
95,656.759644,547641.875,0.0,0.0,0.0,-10713492.0,7860.854004,245465.25,-10713492.0,-10958957.25,2008020.2083333333
96,667.156799,655533.375,0.0,0.0,0.0,-4991632.5,8604.353516,218666.5,-4991632.5,-5210299.0,2403622.375
97,720.234741,421575.625,0.0,0.0,0.0,0.0,8694.142578,261303.6875,0.0,-261303.6875,1545777.2916666665
121,688.173431,751400.125,0.0,0.0,0.0,-5668152.03125,6583.435059,85270.733643,-5668152.03125,-5753422.764893,2755133.7916666665
122,816.386475,940847.5,0.0,0.0,0.0,-3092523.25,7809.875977,52989.488281,-3092523.25,-3145512.738281,3449774.1666666665
123,708.680908,650144.875,0.0,0.0,0.0,-10159342.0,8023.475586,204651.40625,-10159342.0,-10363993.40625,2383864.5416666665
124,680.166748,581259.375,0.0,0.0,0.0,-9377958.0,9049.1875,318550.6875,-9377958.0,-9696508.6875,2131284.375
125,736.336304,585827.6875,0.0,0.0,0.0,-39404.40625,8370.654297,241196.671875,-39404.40625,-280601.078125,2148034.8541666665
126,272.837708,160524.542969,0.0,1622.963379,8872.390625,-18550.960938,3167.621216,65980.859375,-16927.997559,-82908.856934,588412.5430738333
148,361.248596,261554.6875,0.0,0.0,0.0,-13507364.0,5522.486328,176019.09375,-13507364.0,-13683383.09375,959033.8541666666
149,794.383789,908351.9375,0.0,0.0,0.0,-3936563.5,7854.298828,57251.453125,-3936563.5,-3993814.953125,3330623.770833333
150,708.619568,678365.125,0.0,0.0,0.0,-10084443.0,7891.740234,177237.4375,-10084443.0,-10261680.4375,2487338.7916666665
151,584.801758,350308.75,0.0,0.0,0.0,-15727184.0,8411.207031,381276.6875,-15727184.0,-16108460.6875,1284465.4166666665
152,823.130981,1011484.375,0.0,0.0,0.0,-38675.234375,8131.762695,233272.0,-38675.234375,-271947.234375,3708776.0416666665
153,593.850952,348868.5,0.0,1718.776855,4308.208008,-407214.0,6464.91748,185823.140625,-405495.223145,-591318.3637699999,1279098.33583984
176,83.331612,89586.03125,0.0,0.0,0.0,-1301003.25,1676.444824,11571.853516,-1301003.25,-1312575.103516,328482.1145833333
177,580.133865,352634.984375,0.0,0.0,0.0,-24337090.0,8278.49353,347158.554688,-24337090.0,-24684248.554688,1292994.9427083333
178,673.291931,587285.75,0.0,0.0,0.0,-13943779.0,8123.118164,224739.34375,-13943779.0,-14168518.34375,2153381.083333333
179,600.448914,389992.1875,0.0,0.0,0.0,-16862624.0,8222.016602,327669.0,-16862624.0,-17190293.0,1429971.3541666665
180,754.174683,809276.4375,0.0,0.0,0.0,-2917952.0,8458.140625,248493.484375,-2917952.0,-3166445.484375,2967346.9375
181,730.528076,757248.125,0.0,2414.926025,13307.585938,-177346.96875,7497.197266,130946.164062,-174932.042725,-305878.206787,2776310.306614573
204,617.930908,448447.125,0.0,0.0,0.0,-22860128.0,9813.095703,298425.5,-22860128.0,-23158553.5,1644306.125
205,563.290283,299021.40625,0.0,0.0,0.0,-26196492.0,8533.491211,376382.125,-26196492.0,-26572874.125,1096411.8229166665
206,699.779297,652734.5625,0.0,0.0,0.0,-11214630.0,8035.32666,191847.09375,-11214630.0,-11406477.09375,2393360.0625
207,792.202759,894384.375,0.0,0.0,0.0,-3141381.0,8777.289062,65776.40625,-3141381.0,-3207157.40625,3279409.375
208,826.28717,989855.375,0.0,0.0,0.0,-664628.25,7713.383789,102318.625,-664628.25,-766946.875,3629469.708333333
209,40.056122,23533.232422,0.0,3219.922363,17743.5625,-102567.570312,449.770203,11048.398438,-99347.64794899999,-110396.046387,85933.64763066667
232,273.832214,144457.75,0.0,0.0,0.0,-13177535.0,4322.614258,185748.46875,-13177535.0,-13363283.46875,529678.4166666666
233,500.50148,141323.828125,0.0,0.0,0.0,-33646819.5,9147.571655,457371.0625,-33646819.5,-34104190.5625,518187.3697916666
234,702.587708,663131.5625,0.0,0.0,0.0,-11891367.0,8169.922852,185139.71875,-11891367.0,-12076506.71875,2431482.395833333
235,749.981628,790368.625,0.0,0.0,0.0,-6373876.0,8624.261719,118759.0625,-6373876.0,-6492635.0625,2898018.2916666665
236,766.629639,830061.4375,0.0,0.0,0.0,-4383168.0,7853.519043,98051.015625,-4383168.0,-4481219.015625,3043558.6041666665
237,442.97049,541805.75,0.0,0.0,0.0,0.0,4306.647461,2436.119385,0.0,-2436.119385,1986621.0833333333
259,26.846769,2325.086182,0.0,0.0,0.0,-2163029.25,1198.246582,29840.207031,-2163029.25,-2192869.457031,8525.316000666666
260,626.725464,476336.125,0.0,0.0,0.0,-20946870.0,10022.987305,282577.1875,-20946870.0,-21229447.1875,1746565.7916666665
261,669.170471,577895.0,0.0,0.0,0.0,-16356290.0,8628.793945,229593.0625,-16356290.0,-16585883.0625,2118948.333333333
262,741.158691,763499.25,0.0,0.0,0.0,-8150292.0,8498.203125,132761.84375,-8150292.0,-8283053.84375,2799497.25
263,786.325562,882565.0,0.0,0.0,0.0,-3588517.25,8000.477051,70644.265625,-3588517.25,-3659161.515625,3236071.6666666665
264,504.367126,558111.5,0.0,0.0,0.0,-2522918.75,5177.390625,53591.707031,-2522918.75,-2576510.457031,2046408.8333333333
288,505.377594,218785.0,0.0,0.0,0.0,-28345700.0,11863.240234,398880.5,-28345700.0,-28744580.5,802211.6666666666
289,644.848251,514848.289062,0.0,0.0,0.0,-20123836.0,9546.979126,262468.894531,-20123836.0,-20386304.894531,1887777.059894
290,814.385742,957245.1875,0.0,0.0,0.0,-2179736.75,8718.097656,31666.814453,-2179736.75,-2211403.564453,3509899.020833333
291,817.699768,965416.0625,0.0,0.0,0.0,-1615719.0,7937.643555,27403.988281,-1615719.0,-1643122.988281,3539858.895833333
292,768.039368,834681.8125,0.0,0.0,0.0,-4618702.5,7650.491211,95609.125,-4618702.5,-4714311.625,3060499.9791666665
293,43.606899,53446.660156,0.0,0.0,0.0,0.0,409.095398,0.0,0.0,0.0,195971.08723866666
302,97.76384,183155.40625,0.0,0.0,0.0,0.0,955.057922,0.0,0.0,0.0,671569.8229166666
303,69.671097,130039.125,0.0,0.0,0.0,0.0,646.00647,0.0,0.0,0.0,476810.125
315,311.198914,231082.3125,0.0,0.0,0.0,-16310832.0,6502.512207,215571.53125,-16310832.0,-16526403.53125,847301.8125
316,588.235474,399571.09375,0.0,0.0,0.0,-24875688.0,10663.300781,332490.59375,-24875688.0,-25208178.59375,1465094.0104166665
317,667.952393,548463.0,0.0,0.0,0.0,-19387736.0,8611.556641,257589.90625,-19387736.0,-19645325.90625,2011031.0
318,849.448486,1020028.75,0.0,0.0,0.0,-772894.0,7969.017578,11570.201172,-772894.0,-784464.201172,3740105.4166666665
319,798.949097,886962.25,0.0,0.0,0.0,-4514530.0,8023.972168,80992.054688,-4514530.0,-4595522.054688,3252194.9166666665
320,766.375244,889857.0,0.0,0.0,0.0,-1841702.75,7703.31543,40190.839844,-1841702.75,-1881893.589844,3262809.0
321,6.8697,8502.648438,0.0,0.0,0.0,0.0,64.977188,3187.37207,0.0,-3187.37207,31176.377606
330,735.734375,1388294.5,0.0,0.0,0.0,0.0,6960.189453,608.969666,0.0,-608.969666,5090413.166666666
331,132.790792,243590.566406,0.0,0.0,0.0,0.0,1210.575516,0.0,0.0,0.0,893165.4101553333
343,28.285109,16407.283203,0.0,0.0,0.0,-3050514.5,1122.749146,22530.712891,-3050514.5,-3073045.212891,60160.038410999994
344,611.73999,601299.9375,0.0,0.0,0.0,-18811020.0,10293.296875,269152.71875,-18811020.0,-19080172.71875,2204766.4375
345,578.14859,339732.40625,0.0,0.0,0.0,-28266165.0,9104.841797,353795.582031,-28266165.0,-28619960.582031,1245685.4895833333
346,806.782898,938510.75,0.0,0.0,0.0,-3000123.0,8299.436523,41408.042969,-3000123.0,-3041531.042969,3441206.083333333
347,830.250488,998038.125,0.0,0.0,0.0,-642533.5625,7630.063477,10352.140625,-642533.5625,-652885.703125,3659473.125
348,823.636353,980529.9375,0.0,0.0,0.0,-984271.875,7868.455566,19486.296875,-984271.875,-1003758.171875,3595276.4375
349,780.007935,874314.3125,0.0,0.0,0.0,-1876622.125,7910.416504,77392.734375,-1876622.125,-1954014.859375,3205819.145833333
351,143.362991,178598.75,0.0,0.0,0.0,-35107.886719,1657.627563,608.934448,-35107.886719,-35716.821167,654862.0833333333
352,91.943001,111745.46875,0.0,0.0,0.0,0.0,894.516907,0.0,0.0,0.0,409733.3854166666
353,30.996004,37653.210938,0.0,0.0,0.0,0.0,282.993866,608.9245,0.0,-608.9245,138061.7734393333
357,5.9629,10988.505859,0.0,0.0,0.0,0.0,51.556053,0.0,0.0,0.0,40291.18814966667
358,279.381592,523802.59375,0.0,0.0,0.0,0.0,2602.165527,0.0,0.0,0.0,1920609.5104166665
359,828.173889,1532989.625,0.0,0.0,0.0,-14922.24707,7545.870605,608.930725,-14922.24707,-15531.177795,5620961.958333333
360,17.086742,29397.603516,0.0,0.0,0.0,-34128.011719,162.282806,3653.54834,-34128.011719,-37781.560059,107791.212892
371,632.95816,770189.8125,0.0,0.0,0.0,-21421740.0,10703.049316,247831.25,-21421740.0,-21669571.25,2824029.3125
372,545.41095,260355.476562,0.0,0.0,0.0,-32968912.0,9912.300049,395190.09375,-32968912.0,-33364102.09375,954636.747394
373,768.053284,863781.34375,0.0,0.0,0.0,-6433449.625,8278.591431,80377.888672,-6433449.625,-6513827.513672,3167198.2604166665
374,823.996399,985167.078125,0.0,0.0,0.0,-1185607.453125,7583.65271,17049.917969,-1185607.453125,-1202657.371094,3612279.286458333
375,822.244598,984000.390625,0.0,0.0,0.0,-1036466.5625,7654.340576,17658.616211,-1036466.5625,-1054125.178711,3608001.4322916665
376,834.472534,1009677.8125,0.0,0.0,0.0,-203617.140625,7945.997437,4262.516846,-203617.140625,-207879.657471,3702151.9791666665
377,251.154243,307344.65625,0.0,0.0,0.0,-11321.895508,2448.556152,608.93689,-11321.895508,-11930.832397999999,1126930.40625
