SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,269.017334,376664.375,0.0,0.0,0.0,0.0,2899.537598,0.0,0.0,0.0,1381102.7083333333
13,660.125244,470266.5625,0.0,0.0,0.0,0.0,7134.272949,56030.152344,0.0,-56030.152344,1724310.7291666665
14,206.287006,122758.375,0.0,0.0,0.0,0.0,2358.007141,591.858887,0.0,-591.858887,450114.0416666666
38,324.967468,394880.3125,0.0,0.0,0.0,0.0,2763.025146,0.0,0.0,0.0,1447894.4791666665
39,638.227844,787337.4375,0.0,0.0,0.0,0.0,5623.612305,0.0,0.0,0.0,2886903.9375
40,771.303772,1015643.75,0.0,0.0,0.0,0.0,7353.32666,618755.5625,0.0,-618755.5625,3724027.083333333
41,714.443359,422603.46875,0.0,0.0,0.0,0.0,7830.525391,3551.165771,0.0,-3551.165771,1549546.0520833333
66,288.947388,351131.40625,0.0,0.0,0.0,0.0,3877.34668,0.0,0.0,0.0,1287481.8229166665
67,792.85083,963495.5,0.0,0.0,0.0,0.0,6637.864258,0.0,0.0,0.0,3532816.833333333
68,811.539551,1018171.875,0.0,0.0,0.0,0.0,7631.919434,0.0,0.0,0.0,3733296.875
69,746.88855,504168.6875,0.0,0.0,0.0,0.0,7463.656738,63058.648438,0.0,-63058.648438,1848618.5208333333
70,323.086113,190166.992188,0.0,0.0,0.0,0.0,3380.434326,0.0,0.0,0.0,697278.9713559999
92,1.9998,2429.888428,0.0,0.0,0.0,0.0,16.782711,0.0,0.0,0.0,8909.590902666667
93,338.6875,411869.25,0.0,0.0,0.0,0.0,2833.691162,0.0,0.0,0.0,1510187.25
94,837.363647,1018144.875,0.0,0.0,0.0,0.0,7103.274414,0.0,0.0,0.0,3733197.875
95,836.375732,1018144.875,0.0,0.0,0.0,0.0,7177.81543,0.0,0.0,0.0,3733197.875
96,787.938171,1018144.875,0.0,0.0,0.0,0.0,7488.263672,80434.21875,0.0,-80434.21875,3733197.875
97,720.234741,421575.625,0.0,0.0,0.0,0.0,7112.43457,5918.32959,0.0,-5918.32959,1545777.2916666665
121,752.038467,914845.34375,0.0,0.0,0.0,0.0,6222.615967,0.0,0.0,0.0,3354432.927083333
122,855.303284,1042416.625,0.0,0.0,0.0,0.0,7414.491211,0.0,0.0,0.0,3822194.2916666665
123,857.887085,1042416.625,0.0,0.0,0.0,0.0,7309.601074,0.0,0.0,0.0,3822194.2916666665
124,854.928955,1042416.625,0.0,0.0,0.0,0.0,8114.468262,0.0,0.0,0.0,3822194.2916666665
125,752.050659,648035.5625,0.0,0.0,0.0,0.0,7097.012695,185611.296875,0.0,-185611.296875,2376130.395833333
126,275.553444,165963.28125,0.0,0.0,0.0,0.0,2621.953613,15620.221191,0.0,-15620.221191,608532.03125
148,492.948975,598944.625,0.0,0.0,0.0,0.0,4911.423828,0.0,0.0,0.0,2196130.2916666665
149,836.659912,1018090.375,0.0,0.0,0.0,0.0,7141.147461,0.0,0.0,0.0,3732998.0416666665
150,837.743896,1018090.375,0.0,0.0,0.0,0.0,7302.867188,0.0,0.0,0.0,3732998.0416666665
151,837.904419,1018090.375,0.0,0.0,0.0,0.0,7590.845703,0.0,0.0,0.0,3732998.0416666665
152,824.973328,1018090.375,0.0,0.0,0.0,0.0,7249.544434,12373.674805,0.0,-12373.674805,3732998.0416666665
153,605.636536,353386.375,0.0,0.0,0.0,0.0,5480.170898,37820.921875,0.0,-37820.921875,1295750.0416666665
176,91.982498,111766.734375,0.0,0.0,0.0,0.0,1453.684937,0.0,0.0,0.0,409811.359375
177,837.263855,1018061.734375,0.0,0.0,0.0,0.0,7231.223145,0.0,0.0,0.0,3732893.0260416665
178,837.870178,1018061.75,0.0,0.0,0.0,0.0,7374.378906,0.0,0.0,0.0,3732893.083333333
179,836.843628,1018061.75,0.0,0.0,0.0,0.0,7463.270508,0.0,0.0,0.0,3732893.083333333
180,826.858276,1018061.75,0.0,0.0,0.0,0.0,7717.685059,142296.0,0.0,-142296.0,3732893.083333333
181,774.594666,904166.375,0.0,0.0,0.0,0.0,6662.135254,444890.75,0.0,-444890.75,3315276.708333333
204,839.787598,1020463.25,0.0,0.0,0.0,0.0,8362.543945,0.0,0.0,0.0,3741698.583333333
205,839.917542,1020463.25,0.0,0.0,0.0,0.0,7489.555176,0.0,0.0,0.0,3741698.583333333
206,839.435791,1020463.25,0.0,0.0,0.0,0.0,7423.752441,0.0,0.0,0.0,3741698.583333333
207,839.839111,1020463.25,0.0,0.0,0.0,0.0,8178.780762,0.0,0.0,0.0,3741698.583333333
208,837.665527,1020463.25,0.0,0.0,0.0,0.0,7191.850586,4124.511719,0.0,-4124.511719,3741698.583333333
209,44.745762,32060.953125,0.0,0.0,0.0,0.0,394.263214,15619.139648,0.0,-15619.139648,117556.828125
232,411.667297,500496.78125,0.0,0.0,0.0,0.0,3625.708008,0.0,0.0,0.0,1835154.8645833333
233,836.925873,1018003.71875,0.0,0.0,0.0,0.0,7772.97583,0.0,0.0,0.0,3732680.302083333
234,837.881714,1018003.6875,0.0,0.0,0.0,0.0,7395.682129,0.0,0.0,0.0,3732680.1875
235,835.760132,1018003.6875,0.0,0.0,0.0,0.0,8130.246094,0.0,0.0,0.0,3732680.1875
236,837.452271,1018003.6875,0.0,0.0,0.0,0.0,7487.286621,0.0,0.0,0.0,3732680.1875
237,442.97049,541805.75,0.0,0.0,0.0,0.0,4025.675293,0.0,0.0,0.0,1986621.0833333333
259,48.5075,66307.640625,0.0,0.0,0.0,0.0,929.770386,0.0,0.0,0.0,243128.015625
260,834.882263,1017974.5,0.0,0.0,0.0,0.0,8406.237305,0.0,0.0,0.0,3732573.1666666665
261,837.314575,1017974.5,0.0,0.0,0.0,0.0,7580.643555,0.0,0.0,0.0,3732573.1666666665
262,837.749695,1017974.5,0.0,0.0,0.0,0.0,8130.036133,0.0,0.0,0.0,3732573.1666666665
263,837.459167,1017974.5,0.0,0.0,0.0,0.0,7742.167969,0.0,0.0,0.0,3732573.1666666665
264,543.259399,660835.125,0.0,0.0,0.0,0.0,5001.626953,0.0,0.0,0.0,2423062.125
