ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
2.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
5.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
6.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
7.000000000000000000e+00,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
8.000000000000000000e+00,1.204136559044305980e+07,6.142827276074886322e+04,2.511185973157962859e+08,6.866588110104370117e+07,-7.234762236328125000e+05,2.467994884699583054e+02,1.276459501458740234e+07,3.281500273486328125e+07,1.204136559044305980e+07,0.000000000000000000e+00,6.083178187379837036e+05
9.000000000000000000e+00,nan,6.409661899548768997e+04,2.896659722970809340e+08,7.900069021108245850e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077173376140594482e+05
1.000000000000000000e+01,9.749371023503644764e+07,4.033649023944139481e+04,5.139974669925048947e+07,1.543489562384033203e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.821588219476318359e+07,2.597435294082031250e+08,9.749371023503644764e+07,0.000000000000000000e+00,6.089439132609367371e+05
1.100000000000000000e+01,9.750348297710187733e+07,4.033220910459756851e+04,5.137727578936258703e+07,1.542905819898986816e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822565493682861328e+07,2.597968803466796875e+08,9.750348297710187733e+07,0.000000000000000000e+00,6.089406145749092102e+05
1.200000000000000000e+01,6.871946447080373764e+04,6.396432805871963501e+04,2.874614774015038013e+08,7.840936735794830322e+07,-7.162662934570312500e+05,2.797722756862640381e+00,7.849829602050781250e+05,1.976812215332031250e+06,6.871946447080373764e+04,0.000000000000000000e+00,6.077415195503234863e+05
1.300000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
1.400000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
1.500000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
1.600000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
1.700000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
1.800000000000000000e+01,9.750348297710187733e+07,4.033220910459756851e+04,5.137727578936258703e+07,1.542905819898986816e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822565493682861328e+07,2.597968803466796875e+08,9.750348297710187733e+07,0.000000000000000000e+00,6.089406145749092102e+05
1.900000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
2.000000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
2.100000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
2.200000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
2.300000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
2.400000000000000000e+01,9.750348297710187733e+07,4.033220910459756851e+04,5.137727578936258703e+07,1.542905819898986816e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822565493682861328e+07,2.597968803466796875e+08,9.750348297710187733e+07,0.000000000000000000e+00,6.089406145749092102e+05
2.500000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
2.600000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
2.700000000000000000e+01,1.241370359461168945e+07,6.137051246899366379e+04,2.504610959342778325e+08,6.849174002275848389e+07,-7.234762236328125000e+05,5.089224315136671066e+02,1.313667089581298828e+07,3.376420745849609375e+07,1.241370359461168945e+07,0.000000000000000000e+00,6.082334456901550293e+05
2.800000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
2.900000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.000000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.100000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.200000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
3.300000000000000000e+01,9.751015152879865468e+07,4.032970990163087845e+04,5.137352416165649146e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.823232348852539062e+07,2.598278301450195312e+08,9.751015152879865468e+07,0.000000000000000000e+00,6.089384891858100891e+05
3.400000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.500000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.600000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.700000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
3.800000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
3.900000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.000000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.100000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.200000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.300000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.400000000000000000e+01,nan,6.409661899548768997e+04,2.896659722970809340e+08,7.900069021108245850e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077173376140594482e+05
4.500000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
4.600000000000000000e+01,nan,6.409677987515926361e+04,2.896700793026021123e+08,7.900181030349731445e+07,nan,6.527896428108215332e+01,5.702829626464843750e+04,1.612571777343750000e+05,nan,0.000000000000000000e+00,6.077166452255249023e+05
4.700000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
4.800000000000000000e+01,9.749371023503644764e+07,4.033649023944139481e+04,5.139974669925048947e+07,1.543489562384033203e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.821588219476318359e+07,2.597435294082031250e+08,9.749371023503644764e+07,0.000000000000000000e+00,6.089439132609367371e+05
4.900000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
5.000000000000000000e+01,9.750514615697248280e+07,4.033128718572854996e+04,5.137396452458617836e+07,1.542820384487915039e+07,-7.234762236328125000e+05,1.304263906076550484e+03,9.822731811669921875e+07,2.598058119985351562e+08,9.750514615697248280e+07,0.000000000000000000e+00,6.089383827157020569e+05
